User,arroba,hora de publicación,publicación
Gera Carrasco,@Gege1077676798,08:59,""" Todos los dias y a todas horas, se pueden ver una cantidad innumerable de tonterias qué Xochitl, la candidata del asqueroso PRIANRD, dice, hace y registra. #VamosAInundarLasUrnas #NiUnVotoALaDerecha #NiUnVotoALasRatasDelPrian #NiUnVotoAlNarcoPRIANRD"""
Ariel Rodriguez,@arielTrdgz,08:56,"""Un grupo de personas con trajes anti virus que dicen “Morena te Tóxica” o “La Continuidad Mata” se concentra a las afueras del #Reforma 222. Se predispone a #protestar contra la #4T #BloqueoReforma #Bloqueos #Protestas #EleccionesMéxico2024"""
Magda #MéxicoLibre 🇲🇽🇺🇦,@MagdaGraciasFCH,08:11,"""La fila para votar en #Madrid #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
FERMOR,@FERMOR_23,08:24,"""Hoy un pedazo de papel tiene más poder que todo el estado mexicano. Vota Vota Vota🗳️ #VotoMataEncuesta #YoVotaréPorXóchitl #InundemosLasUrnas"""
Tere Moreno,@MoreTreeee,08:44,"""¡Es hoy! Sal a votar y participa en el proceso democrático. Ejerce tu derecho y ayuda a salvar a México. ¡Tu voto es clave para el futuro del país! #InundemosLasUrnas #YoVotaréPorXóchitl"""
✨RUBÉN 🍀,@RUBENRBN2021,08:36,"""Hagamoslo realidad, por el bien de todos!! #XochitlGálvezPresidente24 #InundemosLasUrnas"""
Luis Carpintero,@Luiscarpintero,08:00,"""¿Vas a votar por @XochitlGalvez pero no sabes cómo votar? Así de sencillo... #InundemosLasUrnas #YoVotaréPorXóchitl"""
Alfebucateca,@alfebucateca1,08:09,"""En Madrid están los mexicanos en favor!!! De @XochitlGalvez #ByeByeMorena #YoVotarePorXóchitl #XochitlGálvezPresidenta24 #InundemosLasUrnas"""
Paco Limón,@FraliTrizia,08:33,"""#InundemosLasUrnas #PlanC #VotaTodoMorena #VotoMasivoPorMorenaPTyPV"""
Maria Leonor,@marleonorc,08:12,"""Buenos días. Hoy es el día mas importante de los últimos 200 años. Nuestra vida y libertad están en riesgo, está en tus manos México. ¡Sal a Votar! #InundemosLasUrnas #YoVotarePorXóchitl No olvides que estos delitos electorales se pagan con cárcel."""
Política Ficción,@FictionMex,08:08,"""#InundemosLasUrnas para ya de una vez mandarlos a la chingada y reconstruir el desmadre que dejaron los del #PRIANCorrupto #EleccionesMéxico2024 #ElecciónPresidencial #EleccionesMéxico #VotoXMéxico"""
Isra González,@Israglezz2,08:51,"""#InundemosLasUrnas mañana es el gran día perros que estuvieron ladrando pura 💩 durante 5 años los mama 🥚🥚PRIANPRD Voto masivo a MORENA, construyamos el 2do piso de la 4T"""
