"User","arroba","hora de publicación","comentario","comentario_editado"
"Gera Carrasco","@Gege1077676798","08:59"," Todos los dias y a todas horas, se pueden ver una cantidad innumerable de tonterias qué Xochitl, la candidata del asqueroso PRIANRD, dice, hace y registra.  VamosAInundarLasUrnas  NiUnVotoALaDerecha  NiUnVotoALasRatasDelPrian  NiUnVotoAlNarcoPRIANRD","todos los dias y a todas horas, se pueden ver una cantidad innumerable de tonterias qué xochitl, la candidata del asqueroso PRIANRD, dice, hace y registra.  vamos a inundar las hurnas  ni un voto a la derecha  ni un voto a las ratas del PRIAN  ni un voto al narco PRIANRD"
"Ariel Rodriguez","@arielTrdgz","08:56","Un grupo de personas con trajes anti virus que dicen “Morena te Tóxica” o “La Continuidad Mata” se concentra a las afueras del  Reforma 222. Se predispone a  protestar contra la  4T  BloqueoReforma  Bloqueos  Protestas  EleccionesMéxico2024","un grupo de personas con trajes anti virus que dicen morena te tóxica o la continuidad mata se concentra a las afueras del reforma 222.se predispone a protestar contra la 4ta transformación bloqueo en reforma bloqueos protestas elecciones en méxico 2024"
"Magda  MéxicoLibre 🇲🇽🇺🇦","@MagdaGraciasFCH","08:11","La fila para votar en  Madrid  EleccionesMéxico2024  XochitlGálvezPresidenta24","la fila para votar en madrid elecciones en méxico 2024 xochitl galvez presidenta 2024"
"FERMOR","@FERMOR_23","08:24","Hoy un pedazo de papel tiene más poder que todo el estado mexicano. Vota Vota Vota🗳️  VotoMataEncuesta  YoVotaréPorXóchitl  InundemosLasUrnas","hoy un pedazo de papel tiene más poder que todo el estado mexicano.vota vota vota voto mata encuesta yo votaré por xochitl inundemos las urnas"
"Tere Moreno","@MoreTreeee","08:44","¡Es hoy! Sal a votar y participa en el proceso democrático. Ejerce tu derecho y ayuda a salvar a México. ¡Tu voto es clave para el futuro del país!  InundemosLasUrnas  YoVotaréPorXóchitl","¡es hoy!sal a votar y participa en el proceso democrático.ejerce tu derecho y ayuda a salvar a méxico.¡tu voto es clave para el futuro del país!inundemos las urnas yo votaré por xochitl"
"✨RUBÉN 🍀","@RUBENRBN2021","08:36","Hagamoslo realidad, por el bien de todos!!  XochitlGálvezPresidente24  InundemosLasUrnas","hagamoslo realidad,por el bien de todos!!xochitl galvez presidenta 2024 inundemos las urnas"
"Luis Carpintero","@Luiscarpintero","08:00","¿Vas a votar por @XochitlGalvez pero no sabes cómo votar? Así de sencillo...  InundemosLasUrnas  YoVotaréPorXóchitl","¿vas a votar por xochitl galvez pero no sabes cómo votar?así de sencillo...inundemos las urnas yo votaré por xochitl"
"Alfebucateca","@alfebucateca1","08:09","En Madrid están los mexicanos en favor!!! De @XochitlGalvez  ByeByeMorena  YoVotarePorXóchitl  XochitlGálvezPresidenta24  InundemosLasUrnas","en madrid están los mexicanos en favor!!!de xochitl galvez adiós MORENA yo votaré por xochitl xochitl galvez presidenta 2024 inundemos las urnas"
"Paco Limón","@FraliTrizia","08:33"," InundemosLasUrnas  PlanC  VotaTodoMorena  VotoMasivoPorMorenaPTyPV","inundemos las urnas plan C vota solamente por MORENA voto masivo por MORENA, PT Y PV"
"Maria Leonor","@marleonorc","08:12","Buenos días. Hoy es el día mas importante de los últimos 200 años. Nuestra vida y libertad están en riesgo, está en tus manos México. ¡Sal a Votar!  InundemosLasUrnas  YoVotarePorXóchitl No olvides que estos delitos electorales se pagan con cárcel.","buenos días.hoy es el día más importante de los últimos 200 años.nuestra vida y libertad están en riesgo,está en tus manos méxico.¡sal a votar!inundemos las urnas yo votaré por xochitl no olvides que estos delitos electorales se pagan con cárcel."
