num_debate,canal,username,fecha,comentario,num_likes
1,adn40,lucastotti7463,07/04/2024,"Vaya Pobreza de Debate, la gente esta mal acostumbrada a ver Circo, a escuchar Gritaderas, ver Pancartitas, Periódicos, Grafica de barras, etc, pero pon a los Políticos a resolver problemas matemáticos Básicos y se va su super verborrea, ahhh pero ellos te venden que son el Premio Nobel de Economía.",58
1,adn40,xochitlsandoval2100,07/04/2024,La cara de xochilt cuando menciono todos sus amigos millonetas me imaginé a la Chilindrina cuando la cachaban jajaja ponía su cara pelando los dientes,42
1,adn40,hectordiaz8146,07/04/2024,"Xochitl la única que tiene que leer sus propuestas, cero capacidad para exponer sin un escrito.",137
1,adn40,libertyfilm4096,07/04/2024,Xochil corrupta,36
1,adn40,fan5587,07/04/2024,"No somos tontos y que fastidio que les pregunten algo directamente y contesten con algo que no se les pregunto, los 3 muy mal",49
1,adn40,AlfredoSanchez-ks2bn,07/04/2024,Jajajaja la crupta no gano ni para el taxi..,28
1,adn40,almendrasolamente,07/04/2024,Parece concurso de reinas de belleza con sus respuestas prefabricadas y basicas.,57
1,adn40,kraned107,07/04/2024,"Franco Escamilla se queda pendejo cuando lo comparamos con los verdaderos comediantes del siglo XXI. Tremenda obra de amor a la comedia, incluyendo a, como no, la participación Xochitl como estrella de renombre.",5
1,adn40,marthapavon9794,07/04/2024,Puras promesas. Pero si pusieran la pena de muerte a violadores secuestradores homicidas narcotraficantes eso serian hechos no solo blablabla,37
1,adn40,legionslaughter6312,07/04/2024,Mexico is cooked,4
1,adn40,alinaadler1881,07/04/2024,JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJA,4
1,adn40,eligiosantiago7985,07/04/2024,La neta es que Maynez si venía muy preparado,28
1,adn40,AlmaFlores-ou3gg,07/04/2024,"El ine ,los periodistas(Denisse) estan con Xochilt le ayudaba cada vez que le leia las preguntas a manera que las pudiera entender la pobre sra.Xochilt y ya venia preparada con las respuestas de c/pregunta,se manipulo el tiempo,en fin .PERO NI ASI TREMENDA AYUDA GANARA. ""VAMOS CON CLAUDIA Y LA 4T""",0
1,adn40,alex6668.,07/04/2024,La Xochitl con sus alimentos orgásmicos jajajaja XD,16
1,adn40,xochitlsandoval2100,07/04/2024,"Que flojera me da la sra. Xochilt Gálvez, queriendo ser empática y se ve más falsa que nada!!!!!",18
1,adn40,MariaHernandez-ch9gw,07/04/2024,"Claudia fue la que se veía mas segura, por mucho!",59
1,adn40,almanavarro-taylor3397,07/04/2024,Omg,0
1,adn40,TeacherParra777,07/04/2024,"Interesante, tienen que comparar lo malo de sus adversarios para justificar lo que ellos han hecho bien, siguen sin tener la capacidad de presentar algo que demuestre que realmente quieren cambiar al pais y no solo derrotar a su oponente. sigue siendo el que mejor manipule gana.",34
1,adn40,fan5587,07/04/2024,No había más candidatos ni a cual irle. Si estaba confundida quede peor. Los tres son tan patéticos.,22
1,adn40,silviajenkin9676,07/04/2024,Debate ò confrontaciòn ???,2
1,adn40,IsisRuiz-wo3oh,07/04/2024,"Ojala que para la siguienten si contesten las preguntas que les hacen, y no solo repitan la pregunta o se pongan a criticar al otro candidato",24
1,adn40,juanquistian814,07/04/2024,,1
1,adn40,Josema_anima,07/04/2024,El laynes estaba algo cagado,3
1,adn40,TanVerLeR2,07/04/2024,1:10:31 jajajajjajajajajja c mamo,0
1,adn40,GermanMiltonHernandezAleman,07/04/2024,Pito,8
1,adn40,marcosarmendia8192,07/04/2024,"Este ""debate"" no fue más que un espectáculo de payasos. Más de lo mismo. En lugar de contestar las preguntas, se la pasaron hablando de cualquier cosa. Una vergüenza que uno de estos 3 vaya a ser el siguiente presidente de México",5
1,adn40,lucastotti7463,07/04/2024,"Estoy en desacuerdo con ArturoCano; al Votante se le debe exigir, de que sirve ver un Debate como Espectador si solo vamos a escuchar Gritos y Peleas, para eso pongo un Reality de MTV, estamos Mal Acostumbrados a ver Debates",9
1,adn40,Ashstary,07/04/2024,"La botarga ni siquiera pudo responder nada de lo que le preguntaron, solo tiró caca",30
1,adn40,mariabravogonzalez5020,07/04/2024,Preguntarle a las personas que murieron Xochil como se puede hacer eso.,23
1,adn40,FredyMusicOficial,07/04/2024,Que gane Maynez o Claudia y adiós al Prian!!!!,13
1,adn40,mrlukitas7265,07/04/2024,Muy XD la Xochitl edit: primero,12
1,adn40,manugz9404,07/04/2024,️,0
1,adn40,antothebest5420,07/04/2024,Los opositores de Claudia sheinbaum tienen muy mala estrategia solo veo rivalidad no veo propuestas solo promesas. Tienen experiencia política pero no han hecho nada por la gente tanto maines como Xóchitl Gálvez,7
1,adn40,lunarosaluna4038,07/04/2024,"CLAUDIA Desde la organización de su carpeta en el debate la fluides al contestar las preguntas y si plantear propuesta que si se puden cumplir. La xochil y el maines solo se dedicaron a ensuciar la 4""T"". Sin pruebas concreta. gane CLAUDIA la presidencia de México",17
1,adn40,fan5587,07/04/2024,Que necedad no gano nadie … los tres muy mal… así los que perdemos somos todos los mexicanos.,18
1,adn40,xochitlsandoval2100,07/04/2024,"El critico ese de no se que televisora dijo que la cara de Claudia que si los ojos que si la cara sin expresión, eso que tiene que ver!!! Es una mujer preparada y educada no necesita ser circo ni ser gestosa para  ganar ,lo importante son las propuestas.",6
1,adn40,almanavarro-taylor3397,07/04/2024,Invirtiendo como️️,0
1,adn40,hgfrttuuu48753,07/04/2024,35:58,0
1,adn40,FiR-U-Ze,07/04/2024,"Y pues siento decirlo, pero que jodido esta el debate. Deja muchisimo que desear. Lo dicho: apoyaremos sin duda a Claudia, pero políticamente no esta a la altura para un debate... DEBIERON PONER A NOROÑA. Norona es un político de verdad; aun que no sea mujer... Ninguno de estos candidatos le llega a los pies a AMLO; mejor reeljamos a AMLO.",5
1,adn40,hernandezmartinezalfredo661,07/04/2024,"Que giro le daria a que ganara la presidencia este hombre contra estas 2 candidatas que estan mas fuertes, como lo dijo el ""ellas 2 empezaron antes su publicidad a la candidatas """,5
1,adn40,elcaracono5755,07/04/2024,Que mandé a poner primero la técnoligia a las comunidades que no hay ni luz,24
1,adn40,honeyboy2589,07/04/2024,Buen video jaja,3
1,adn40,user-iv6tu8bs9x,07/04/2024,"Da risa ver a la botarga levantando la manita para pedir la palabra jaja, y le dieron hasta para llevar jaja",3
