num_debate,canal,username,fecha,comentario,num_likes
1,cnn,hasbelanatayerodriguez5271,07/04/2024,"Es una vergüenza el observar como cada uno de los candidatos, se enfocan mas en intentar dejar y hablar mal de los otros candidatos que realmente mostrar planes coherentes al desarrollo de México. Una verdadera burla de debate",205
1,cnn,sofiagarcia3752,07/04/2024,Xóchitl vas a ganar pero para tu casa por k te falla la gramática cuando te expresas,158
1,cnn,erickg3000,07/04/2024,"Me gusto mucho los planes de Movimiento Ciudadano, su plan de poner a los niños en primera prioridad.   Definitivamente mi voto va ser para Alvares o Claudia. Xochil se debería salir de esta elección, tine más ataques personales que planes para Mexico.",76
1,cnn,lucastotti7463,07/04/2024,"Vaya Pobreza de Debate, la gente esta mal acostumbrada a ver Circo, a escuchar Gritaderas, ver Pancartitas, Periódicos, Grafica de barras, etc, pero pon a los Políticos a resolver problemas matemáticos Básicos y se va su super verborrea, ahhh pero ellos te venden que son el Premio Nobel de Economía.",52
1,cnn,robertoreyez4766,07/04/2024,"Ganó Claudia ,y Maines  fue mejor que la Xochitl.  La Xóchil está pal perro nadie le cree.",83
1,cnn,vianneymndz,07/04/2024,"¿Habrá otro debate en el que den propuestas y dejen de sacarse los trapitos sucios unos a otros? Digo, si quieren que podamos comparar y decidir por quién votar porque nos queda claro que todos los partidos a los que pertenecen son corruptos pero ¿habrá algo, un poquito en lo que podamos mejorar?",39
1,cnn,orlandoandrade7749,07/04/2024,También me llama la atención y curiosidad de que a Jorge maines  pueda ser el menos que le hayan criticado negativamente o contradecir con sus palabras. Con todo respeto parece que es el menos que llama la atención y ojala le vaya bien.,30
1,cnn,adrianhernandez-wf1pr,07/04/2024,Yo me preguntó dónde andará Ricardo Anaya Canallin,59
1,cnn,marianarodriguez4590,07/04/2024,"Pobre Xochitl es la peor de los 3, si no entiende de números menos de tecnología .",86
1,cnn,martinantoniosegoviaavila5022,07/04/2024,Con Claudia y la 4ta.T,64
1,cnn,nelicampos9673,07/04/2024,"Claudia fue precisa y exacta en sus respuestas, su debate fue bueno con propuestas muy buenas hacia el pueblo, vas a ser la primera mujer presidenta de México, vas a ser la mejor y muy honesta con nosotros tu pueblo. ¡Viva Claudia!. Ya soy Seccion V",74
1,cnn,juanra6851,07/04/2024,"Yo no soy mexicano, pero amo a México,  pero hay que decir que comenzó el show, la guerra de mentiras",33
1,cnn,alejandroortiz5150,07/04/2024,No tiene audio,2
1,cnn,CABALLEROMARK2024,07/04/2024,Porqué bloquearon el audio?,2
1,cnn,julisaperalta5965,07/04/2024,"No vi que claudia contestara bien al servicio de seguridad y se fue con los servicios de salud  si quiere hablar de servicio de salud , no hay ambulancias   las personas se mueren esperando una ambulancia de aquí a que se desocupe una . Ni hablar de Médicos especialistas ., ahora están ocupando a estudiantes de poco conocimiento para no contratar a médicos con trayectoria y conocimientos.",11
1,cnn,nancybravocontreras5962,07/04/2024,Xochitl ella misma dijo que no termino la carrera y ahora  sale que fue egresada ahora en la pandemia no sabe porque murió la gente ahora nos manda a preguntar a los muertos jijij,14
1,cnn,victorfernandezperez5044,07/04/2024,Quién ganó el debate fue Dennis!!!,10
1,cnn,MariaHernandez-gg4vt,07/04/2024,"a Esa periodista del PRI,  DE UN  CANAL DE Tv  Que dice que xlaudia no Sonrie  yo le contesto, acaso crees que alguien que sonria en su Debate, nos garantiza que serà honesta, tendra proyectos Amara a Mexico  NOOO. !!!, YO  AL MIL Mil CON LA 4a. TRANSFORMACION.",14
1,cnn,rosinanunez3876,07/04/2024,Una mirada dice más que mil palabras miradas de odio y frustración de la candidata del prian  no lo disimilo acabada  viva morena arriba nuestra presidenta,20
1,cnn,mochinas5580,07/04/2024,Honestamente Claudia gano este debate maximo por todos los premios de honestidad recibidos contra eso no hay nadie que pueda hacer alarde,34
1,cnn,yolandaoliva270,07/04/2024,no se  oye  nada.,3
1,cnn,user-hh5oj3si5m,07/04/2024,"No me gustó la forma    cómo se desenvolvió la sra  Xóchitl todo el coraje contra a Claudia ,no tiene prosapia , que pena Xóchitl se vio muy mal así le va bajar su  reitin  ,se le mirá coraje ,en contra de Claudia, me gustó,  la forma de Claudia  Se mostró Claudia tranquilidad y las respuestas fueron acertadas,es una persona muy profesional,,y Xóchitl que agresiva en contra de Claudia eso le bajó mérito,no cabe duda y ella tan tranquila y educada además ella  le faltó profesionalismo,y muy narcisista, yel Yoyo nunca lo cambio",3
1,cnn,jondarkie,07/04/2024,no se oye,1
1,cnn,fastorga666,07/04/2024,No se escucha,1
1,cnn,MariaElena-bq1xe,07/04/2024,"Honestamente pienso que Máynez es el candidato más preparado y el que fue más coherente con sus propuestas y observaciones. Además de ser recto e inteligente para no caer en las mismas y despreciables prácticas de los viejos gobiernos. Mostrando apertura al cambio y demostrando interés y prioridad a la calidad en la educación, educación ética y no ideogizantes con toques de adoctrinamiento como lo vivieron ya los venezolanos con Chavez predecesor de Maduro quien siguio su legado y a quién AMLO venera mucho (acto que fue captado en video y hay pruebas en línea). Y aquí no se trata de odiar o de idolatrar a nadie sino aprender a dicernir las personalidades, ideologías e intereses de estos 3. Y no sólo eso, su empatía y preparación; así también sus sesgos y coherencia entre lo que dicen y hacen pues pueden decir mucho y con seguridad decirlo pero que tal los hecho, los hechos hablan por si solos y su precampañas adelantadas por parte de las dos candidatas. Si desde ahí no hay coherencia y respeto por los y las mexicanos y mexicanas no me imagino por que otras cosas y situaciones no habrá.",6
1,cnn,joseordonelolanmolina9234,07/04/2024,Nada se oye. El debate lo ganó la dra Claudia Sheinbaum trae mejores propuestas y tiene mayor experiencia que la botarga y el dipsomano.,27
1,cnn,OscarRamos-qu8vt,07/04/2024,"Disculpen!   Con  todo respeto,  es un pleito de viejas trasnochadas,   propuestas de futuras concretas no hay",12
1,cnn,normaortega1284,07/04/2024,"Que despreciables ese tal Maynez y la nefasta Xóchitl  ( hasta la cara se le ha deformado por malévola), lo único que saben hacer es atacar y golpetear dan pena ajena, Claudia les dio una muestra de lo que es tener estatura ética, experiencia y un proyecto sólido.",14
1,cnn,atzirivaleriacoronaabundis7547,07/04/2024,De dónde saca sus estadísticas Xóchitl? Jajaja,19
1,cnn,carlosescalon767,07/04/2024,El reloj de claudia seguía corriendo cuando Xóchitl estaba hablando en el minuto 9:13,24
1,cnn,DanielRodriguez-jf6vu,07/04/2024,"Probablemente convensan a la gente que lo unico que estan esperando es opacar al contrincante eso no es lo importante,lo importante es que cuando llegan al poder nada de lo que dicen ahorita cumplen.",11
1,cnn,franciscomezo,07/04/2024,Para educar ala población primero enseñarles  la constitución desde el 4 año de primaria para que el ciudadano pueda cultivarse y aprender cuando un politico está mintiendo o no es politico,18
1,cnn,orlandoandrade7749,07/04/2024,"Lo que me llama la atención de Xóchitl es que antes criticaba mucho los programas sociales, tambien el tren maya , y en general todo lo que había hecho el presidente, hoy parece aparece y de repente empiza a decir que apoya los programas sociales y muchas de las obras de presidente, pero también me llama la atención de que diga ""que siempre apoyo los programas sociales"" , entonces si es verdad¿Porque no pidio que se aprobaran las reformas del presidente como hacer que los programas sociales sea un derecho , o que se aprobará de que los mexicanos que estan en el extranjero puedan poder votar mas fácilmente o apoyar la reforma energética que pudo beneficiar en que los presios de la energia sean mucho mas barata o  también ella dice que le molesta mucho pero mucho de la inseguridad y la impunidad pero ¿Porque no alza la voz encontra del poder judicial que es responsable de que no se imparta justicia y también es el responsable en mucho de que muchas carpetas de investigación se cierren debido el poder judicial libera a quel persona que deberia estar en una celda por todas la pruebas encontra pero por un palabra de un juez todo se cancela. También me llama la atención de que ella dijo que odia el pri y lo los meteria a la carcel pero ahora esta de aliada con ellos y mas aparte hasta a dicho de que se siente orgullosa de ser parte del pri y mas aparte cuando habla de transparencia, porque no menciona de los contratos de mas de 1400 millones de pesos que sus empresas ( dato curioso ella es la principal accionista de todas sus empresas incluyendo la de sus hijos) y mas aparte hace tan solo hace poco se descubrio de que ella no pagana impuestos y evadia impuestos cambiandose el nombre con tal de no pagar, si que es alguien muy fuerte y integra que sea transparente.",3
1,cnn,victorfernandezperez5044,07/04/2024,TOTAL PROMETER NO EMPOBRECE!!!!! PUROS  TACOS DE LENGUA .,22
1,cnn,erickg3000,07/04/2024,Yo creo que mi voto va a ir a Jorge Álvarez por lo mientras. Definitivamente no para Xóchil! Veremos como van los demás debates. Xóchil debería salirse de esta elección. Viva 🇲🇽,7
1,cnn,franciscoalvarado292,07/04/2024,Esas miradas de Xóchitl Gálvez son puñaladas,23
1,cnn,tatisrc1769,07/04/2024,"Si es verdad, el sistema de salud aqui en colima es un asco....no hay aparatos para ultrasonido en el hospital regional, no hacen cirugias",0
