num_debate,canal,username,fecha,comentario,num_likes
2,imagentv,georginacartagenaalcantara6994,28/04/2024,De verdad que será muy ciego aquel que no se dé cuenta que maines se llevó este segundo debate muy bien.,410
2,imagentv,moebius7884,28/04/2024,Wey Mainez fue el único que si dijo propuestas,423
2,imagentv,vicboss1241,28/04/2024,"Maynez cada debate se ve mas factible. Si esta cagada su sonrisa y sus señas, pero le entra a proponer en lugar de calumniar. Se ve que quiere hacer mejoras y no solo ganar simpatía.  Ah, y si Xóchitl no conoce la ley, México hay libertad de culto. Son libres de creer en la Santa Muerte quien guste, sin ser objeto de burla o ejemplo de maldad.",180
2,imagentv,amymgal1440,28/04/2024,Veo mas propuestas del  candidato Maynez. Ojalá los mexicanos analicemos bien a quién darle nuestro voto y no irnos solo por lo popular.,211
2,imagentv,liinflores4153,28/04/2024,"que falta de respeto con xochilt, ahí se ve que clase de educación tiene.",324
2,imagentv,armandogastelum6825,28/04/2024,Como diria xochitl.... Si ves los debates y aun así votas por xochitl.... Es que eres muy wey!!!!,248
2,imagentv,arlinadilenidiazcamaho745,28/04/2024,"Que onda con las dos señoras se desenfocan de las preguntas y solo se tiran entre ellas,es más Jorge Mayne2 dice cosas contundentes en contra de Xochitl y ella no responde solo vuelve a atacar a Claudia alla quien vote por ella.",81
2,imagentv,dexion2600,28/04/2024,"Después de dos debates por fin veo que se responde correctamente las preguntas de ciudadanía con propuestas, y ¿que creen? las dio Maynez, las otras dos candidatas siguen perdiendo el tiempo peleando. A pesar de que el sistema lo han querido borrar al candidato es el mas centrado ️",46
2,imagentv,rosaiselagonzalez4676,28/04/2024,La Xochiltrufia dijo: y los indígenas para que quieren educación o ya se le olvido ???,144
2,imagentv,TanyaCarolinaEspinosaBecerra,28/04/2024,"Cómo mexicana La verdad me da vergüenza estos debates, no hay de donde escoger es nuestra obligación investigar, no ver si una es inútil o otra es más lista, estas opiniones entre nosotros también dejan mucho que desear.",82
2,imagentv,karenjudithaboytegalvez1022,28/04/2024,La botarga de verdad piensa que no tenemos memoria dice que no quitara los programas sosiales cuando hay videos donde dise que si los quitara,34
2,imagentv,mitziecisneros2472,28/04/2024,"QUE HORROR QUE LAS CANDIDATAS SOLO SE ENFOQUEN EN TIRARSE MIER%# Y POR OTRO LADO MAYNEZ DANDO PROPUESAS CONCRETAS, MOSTRANDOSE MUY EDUCADO EN TODO MOMENTO, maynez es el wey que se pone las pilas en el ultimo semestre y pasa la materia sin pedos. MAYNEZ PRESIDENTE!!!!! PROPUESTAS CLARAS. VAMOS POR UN MÉXICO NUEVO.",38
2,imagentv,franciscoalvarado292,28/04/2024,Yo me rio de Xoxhitl realmente esa señora no tiene nada que ofrecer ninguna propuesta solo sacando cosas que no existen pobre,200
2,imagentv,sandrayanethgomez,28/04/2024,Es una falta de respeto  no dirigirse  por nombre  mis respeto  para Maynez muy educado,237
2,imagentv,rogelio8738,28/04/2024,"Literal se pelean como viejas, Máynez es el único con propuestas y centrado a lo que va. México no merece una presidenta viejita controlada por otro viejito que se dedica a desmentir tiuts.",41
2,imagentv,guadalupesanchez525,28/04/2024,"Candidata Claudia le recomiendo ir a Zacatecas y sus municipios para q vea la pobreza sequía y lo peor la inseguridad que existe con ayuda de sus colegas Monreales, ya basta de mentiras vaya a las viviendas q están echas d cartón o láminas donde el frío y el calor matan a los niños adultos mayores solo quítese los zapatos carisimos sele podrían ensuciar",18
2,imagentv,enriquedelangel6601,28/04/2024,Quisiera yo más de Xóchitl las propuestas para mejorar y no para criticar con críticas no ganas se necesitan proyectos que nos beneficia a los mexicanos,129
2,imagentv,julietaambriz719,28/04/2024,El debate era de chismes o de propuesta. Yo no quiero una presidenta arguendera que horror.,131
2,imagentv,ZSpace_Oficial,28/04/2024,"Espero con todas mi ganas que gane, MAYNEZ. Es el mejor candidato de todos y sus propuestas ...Pueden CAMBIAR a México RADICALMENTE. Es el único que se ve honesto y ,""Al único que no le encontraron trapos sucios"". Por qué las otras TIENEN muchos trapos sucios; Xochitl definitivamente es una persona falta de cultura, incensata, grosera y poco honesta, Claudia ES LO MISMO que AMLO va a hacer lo mismo.... oseá si bien nos va, VAMOS a estar igual que ahorita y Maynez siento que es el mejor, es el único que se ve una persona honesta, sensata, culta y respetuosa y sus propuestas son, ""LAS MEJORES"". Se ve que si las cumpliria.",28
2,imagentv,AndresMarquez-sy1vw,28/04/2024,"Maynes fue el único mas contundente en este debate Claudia : necesitamos o creo que la mayoría de los mexicanos esperamos más de ti, no nos defraudes confiamos en que eres la más preparada pero no lo están deja el todo en la batalla  Xóchitl ; no se que de decir verdad es como un poco confuso su participación",21
2,imagentv,rosarodriguez8918,28/04/2024,"Ya casi nadie toma agua de la llave,   la gran mayoría de las personas tomamos agua purificada.",117
2,imagentv,blancaruiz4957,28/04/2024,"A mi me dió miedo seguir yendo al mercado, suben el salario según ellos y al mismo tiempo suben los precios al cielo, mejor no suban el salario,mejor bajen los precios",89
2,imagentv,byronkuturru,28/04/2024,Xóchitl solita se mete el pie!,50
2,imagentv,jorgericardo2425,28/04/2024,La candidata del prian solo hizo el ridículo,32
2,imagentv,estelamaldonado1854,28/04/2024,Ya cállate Xóchitl no pareces estar en debate pareces estar en la escuelita del chavo del 8,77
2,imagentv,JohnWiston-eg4zk,28/04/2024,Otra vez la oreja tapada de la Xóchitl? Porque se lo permiten usar chicharo,83
2,imagentv,alexfdez7616,28/04/2024,"Que no le tiren a Maynes y solo se queden calladas cuando el si lo hace con datos, dice mucho",73
2,imagentv,agalivillalbaavila598,28/04/2024,"13:24 JAJAJAJAJJAJAJA, quién en su equipo le dijo que esto era una buena idea?",31
2,imagentv,JohnWiston-eg4zk,28/04/2024,Chequen como contesta la cochil automática porque le están diciendo todo por el chicharito,66
2,imagentv,rosaiselagonzalez4676,28/04/2024,"Me molesta de la Xochicles que refiera como candidata de las mentiras a la Doctora Claudia, si la Doctora estuviera a su bajo nivel le diria la borarga ridicula, pero hay clase y se nota.",44
2,imagentv,Silenced639,28/04/2024,"40 minutos fueron suficientes para darme cuenta que esto no es nuevo , cuando buscan mi voto sacan a la luz mi pobreza , mis necesidades , mi inseguridad , si quiero agua , no me dan medicina, si otro sube la pensión , el otro deja la delincuencia ..... y si me prometen  mejores casas... dan pena con el tipo de casas con las que salen. Lo único que escucho es ...... bla bla bla bla bla bla bla Este es mi México, sin un código de conducta , triste",13
2,imagentv,alejandrobanda8231,28/04/2024,"Deberian incluir el tema del Narc0, que piensan hacer al respecto cada candidato para acabar con la corrupción y el influyentismo del narc0 en cada decision pública y privada",19
2,imagentv,user-pz3np5up2h,28/04/2024,LA XOCHITL NO ENTIENDE LA INDICACIÓN MÁS MÍNIMA (NO GRÁFICAAAAAAS),94
2,imagentv,marcelinogonzalez902,28/04/2024,Donde Ha vajado la gasolina en USA  SIGUE SUBIENDO  MENTIRAS,86
2,imagentv,dennisedelamo8278,28/04/2024,Estos son los candidatos para la presidencia de México? Que vergüenza. No deberían ni de filmar estas barbaridades para que no salgan a la luz. Que tristeza!!,16
