num_debate,canal,username,fecha,comentario,num_likes
3,nmas,milagrosromeronajera7191,19/05/2024,Xóchitl en cada pregunta que le hacen: es que Claudia...,351
3,nmas,gerardogallegos6113,19/05/2024,"No entiendo porque dejaron a doña chicles estar con sus imágenes mientras habla otra persona. Que falta de educación, que grosera e irrespetuosa",303
3,nmas,veronicalilaportelacardena8509,19/05/2024,"Es que si xochilt hubiera hablado de la inseguridad en friega la hubieran sacado lo de su hermana la secuestradora, entonces con que cara",138
3,nmas,patriciamaalgocias507,19/05/2024,"La verdad Xochilt no comprende la postura de un debate , públicamente ridiculizó a  su opositora ,se soltó ofendiendo , burlándose ,no me imagino a ningún presidente de ningún país hablando en esa forma,y todavía quejándose de que la señora Claudia ,no le seguía el juego, Xochilt no fuiste a un pleito de vecindad,no tienes el perfil para ser presidenta.",134
3,nmas,camilleonlychild4043,19/05/2024,"Aquí el que pegó mas duro fue Mainez. Xochitl ni leyendo logra dar una, ya sabemos que es una charlatana de carrera. Claudia es muy mesurada en  sus contra ataques, me hubiera gustado que soltara por lo menos una dura y directa en contra de Xochitl, no le oí nada nuevo, sin embargo por mucho es la mejor opción.",139
3,nmas,runrafarunthebestintheworld,19/05/2024,Solamente perdió Xochitl en este debate. Maynez y Claudia hicieron un buen trabajo en refutar todo lo que dice Xochitl y su partido. Salieron con bombas.,232
3,nmas,maricelarios7954,19/05/2024,Pobre Xochitl Gálvez no da una,257
3,nmas,rosylopez8151,19/05/2024,No imagino a Xóchitl en reuniones con presidentes de otros paises.. ¿Como sería su conversación?  Que penita,154
3,nmas,veronicalilaportelacardena8509,19/05/2024,"Cuando xochilt entienda que ponerse de pendenciera lejos de sumarle le resta,va a ser muuuy tarde",126
3,nmas,horacioacuahuitl126,19/05/2024,Esa Xóchitl no sirve ni para presidenta municipal..,257
3,nmas,pyscience,19/05/2024,"Pésimo gusto de Xochitl en interrumpir de esa manera tan irrespetuosa, si en estos actos tan importantes y serios se comporta de esta manera, no me la puedo imaginar manteniendo las relaciones de México con otros países y presidentes.",31
