num_debate,canal,username,fecha,comentario,num_likes
3,once,aurorareyes8921,19/05/2024,"Yo soy una adulta nayor que recibo una pensión que el borracho Fecal me negó, siendi que habia trabajado en iniciativa privada durante 17 años, pero en 2009 me dejaron sin oportunidad en el IMSS.",28
3,once,mentescreativasenproceso5126,19/05/2024,Xóchitl Gálvez agradecemos tus desatinos; porque gracias a ellos haz desenmascarado al INE y a norma Piña. Ese es el poder judicial.,42
3,once,aurorareyes8921,19/05/2024,"Maynez estuvo repitiendo lo mismo que ha dicho en todos los debates, pero nada nuevo y ni como lo hará.",21
3,once,yazlazca6984,19/05/2024,"TODO LO QUIEREN RESOLVER CON BECAS, PERO LOS ESTUDIANTES SALEN SIN PREPARACÓN... ASÍ DEN A TODOS LOS NIÑOS BECAS, SI LOS ESTUDIANTES NO SE APLICAN, NO SIRVE DE NADA",9
3,once,saulurielmartinezlopez101,19/05/2024,"Sin un acarreado jajaja, hoy un conocido que vende en la calle en el mercado de la Merced me comentó como los llevaron de acarreados a la marcha de la X, no tienen vergüenza",9
3,once,MARGARITACONSTANTINOM,19/05/2024,La pobre botarga se ve desesperada.... Pura incoherencia dice,21
3,once,enriquesoni116,19/05/2024,"Ocupamos que les den casa a los adultos mayores, pagando como renta,no por ser weyes si no por tener disponibilidad del Infonavit para éste déficit.dónde no tenemos viviendas",8
3,once,silviareyesnunez9665,19/05/2024,"Yo voy por Claudia, pero Mainez esruvo genial le dio con todo a la Xochil.",20
3,once,thejoakexer2556,19/05/2024,"Me pregunto por qué no nos dejan ver lo que tienen que decir los voceros en los puntos del debate, se me hace bien sospechoso como si no quisieran que viéramos.  Dónde lo puedo ver?",6
3,once,jorgeramirezcoss,19/05/2024,"Confiamos en quien nos mintió y robó por setenta años, o por quién decía cambiar y por doce años robaron y mintieron o por quién en cinco años hizo lo mismo por lo que se quejaba y aparte no se puso los pantalones en contra de los delincuentes y cuando digo delincuentes es también por sus camaradas políticos de otros partidos. Entonces por quién botar. O mejor botarlos a todos al carajo",6
3,once,eduardoestrella15,19/05/2024,"Como estudiante, estoy en apoyo a Maynez. Hasta el momento, ha estado bastante preparado para las preguntas del público y ha sido más congruente, dado que es el único que ha hablado sobre el tema de la concesión de aguas y de las jornadas laborales. Sus ideas para ayudar a los jóvenes a mí me atrae (parece broma, pero no he recibido ningún apoyo por morena a pesar de estudiar en escuela pública). Espero al menos quede muy reñido con Claudia, no importa si no gana.",11
3,once,marianatrejo3492,19/05/2024,"He leído muchos comentarios en los que dicen que Claudia es la mejor opción para ser presidenta pero queridos lectores la verdad no es así, por qué a lo que ustedes comentan no saben lo que han estado haciendo la señora Claudia y el señor presidente, me queda claro de cómo se está yendo México cada vez más para abajo, felicidades ahora seremos la nueva Venezuela gracias a ustedes.",9
3,once,rosacano2214,19/05/2024,"Plan C,  voto Masivo para el 2 de junio de 2024 para la Dra. Claudia Sheimbaum Pardo.",21
3,once,carolcruz2902,19/05/2024,Plan C,12
3,once,julianlopez1552,19/05/2024,Imaginemos que muchas personas únicamente tienen este debate como referencia de voto. Qué triste escuchar que se tiren tierra en vez de sacar provecho a este espacio con propuestas y profesionalismo.,0
3,once,almond2929,19/05/2024,"Todo lo que prometen está muy bien. Pero los que trabajamos dignamente y nos esforzamos todos los días, entonces nos harán pagar más impuestos como propone el señor Maynez? No es justo",3
3,once,aurorareyes8921,19/05/2024,"Seguimos firmes en apoyo a Nuestra Próxima Presidenta Dra Claudia Sheimbaum Pardo. De Norte a Sur, de Éste a Oeste, ganaremos la contienda éste 2 de Junio por Congruencia, trabajo y Voluntad.",18
3,once,oscarivanresenosjasso5194,19/05/2024,Cuando ponen a los 3 candidados la de enmedio es la niña de la primaria que todo lo toma en broma  y se reia de todo sin idea de la clase jajaja,1
3,once,christiandanielpaz6276,19/05/2024,Pasen las propuestas,1
3,once,CITYREMIX,19/05/2024,esa tal Xochitl no sabe ni que decir jajaja,8
