num_debate,canal,username,fecha,comentario,num_likes
3,unotv,lucianomarquez4598,19/05/2024,No escuche ninguna propuesta de xochilt,0
3,unotv,e.garcia6797,19/05/2024,"Xóchitl me recuerda a esas personas brabuconas que se creen muy fuertes porque insultan, golpean, humillan y se burlan de otros, pero en realidad, son los gatos de personas malvadas y sin escrúpulos que los mandan. Eso no es lo que yo quisiera para mi México. Yo espero que quien gane sea una persona que ame al país y a su gente. Alguien que ponga en alto el nombre de México y de su gente y no alguien que venda al país. Así que piensen bien a quien van a elegir, quieren votar por un malo conocido? Por un bueno conocido? O por un bueno por conocer? Ojalá hagan una buena elección.",2
3,unotv,e.garcia6797,19/05/2024,Para que quiere que Claudia la voltee a ver? Cuál es su problema?,0
3,unotv,Sam-rz1jq,19/05/2024,"Jjajaja te pido por favor que nos respetemos. Si no la dejas hablar desde el principio mi amigo, tu lo haces mas obio que nada",0
3,unotv,Kanamori_kat_zeneko,19/05/2024,Maynes,1
3,unotv,hannisshann,19/05/2024,"VAMOS MAYNEZ!!! MAYNEZ MAYNEZ MAYNEZ PRESIDENTE, es el único q dice hechos, verdades y propuestas claras y concisas!",0
3,unotv,beatrizangelicasanchezmara3754,19/05/2024,Como la xochil se burla de sheinbawn,0
3,unotv,beatrizangelicasanchezmara3754,19/05/2024,"29000? En serio, creo q habia mas",0
3,unotv,beatrizangelicasanchezmara3754,19/05/2024,A y xcierto no es republica del centro si no republica democratica del Congo aunque no c si estaba hablando de ese o de la republica centroafricana,0
3,unotv,AlejandroSantos-sr1z,19/05/2024,Aver con esto del debate estar bueno y este 2 de junio aver como nos va,0
3,unotv,jokersur1382,19/05/2024,Por claudia voy por ti señorona  ppr la . Xóchitl no tiene mas bonitos dientes el DEPREDADOR JAJAJAJAJJA,4
3,unotv,ulisescisneros5207,19/05/2024,Yo voto por el que proponga quitar la ley seca,0
3,unotv,Emma-mr1se,19/05/2024,El lenguaje corporal de Xóchitl la exhibe  no le creo nada a esa señora,6
3,unotv,isaacsoto7560,19/05/2024,"El día que el pueblo entienda que no se pide , se exige   quizás cambie la política en México .",2
3,unotv,SvenAxl,19/05/2024,"Si no existiera democracia no habrían elecciones, por favor investiguen lo que significa antes de abrir el hocico",1
3,unotv,user-le9ts1lb6q,19/05/2024,Yo no votare por ningún,4
3,unotv,user-le9ts1lb6q,19/05/2024,Como pueden caer en sus mentiras dicen que un México seguro y hay muchas muertes de mujeres y hombres nos dejan morir en vez de actuar hacer algo más para menos muertes y secuestros!,2
3,unotv,ArmandoCorrea-wf3cl,19/05/2024,Mainez,1
3,unotv,zzzlzz2828,19/05/2024,Lamentablemente ninguno es bueno,2
3,unotv,anacamilazetinarojas,19/05/2024,Eeeeeeemainis,1
3,unotv,anacamilazetinarojas,19/05/2024,Xóchitl es muy fea con. Claudia shemba,0
3,unotv,anacamilazetinarojas,19/05/2024,Claudia,1
3,unotv,anacamilazetinarojas,19/05/2024,Mainis,0
3,unotv,anacamilazetinarojas,19/05/2024,Xóchitl,0
3,unotv,anacamilazetinarojas,19/05/2024,Queeeeeeeeeeeeeeeeeeeeeeeeeeee,0
3,unotv,OmarSantiagoFloresGarcia,19/05/2024,52:00 momento epico,0
3,unotv,OmarSantiagoFloresGarcia,19/05/2024,La xochitl es bien grosera con la sheinbaum jajajajaj,7
3,unotv,RapMadeMeStrong,19/05/2024,Tiempos oscuros vienen,2
3,unotv,laurasuazo6658,19/05/2024,"Morena eliminó las guarderías, las escuelas de tiempo completo, los medicamentos, el tratamiento contra el cancer y más y más más",9
3,unotv,MarioC-cb4bm,19/05/2024,Espura mentirá coloque di,1
3,unotv,miguelhernandez1509,19/05/2024,La el maynes,2
3,unotv,edgartorres4131,19/05/2024,"Juro por Dios que iba a votar por el PAN pero después de ver estos debates cambiaré de parecer. Esa Xochitl parece vieja de mercado, totalmente incoherente y llena de rabia. Una persona así es incapaz de gobernar, votaré por alguien con estudios y con más clase",16
3,unotv,pamelavaca7691,19/05/2024,Como que Xochilt se estaba volviendo francesa.,5
3,unotv,nataliaruiz125,19/05/2024,"1:02:29   Mi amiga la que no sabe que en la CDMX se está llevando a cabo un programa de recolección de agua de lluvia a las localidades con difícil acceso al agua, de manera gratuita en los hogares 🫠  Si eso es hacer nada, como será cuando hagan algo…",5
3,unotv,danielcampechano8570,19/05/2024,Hermanos Mexicanos echos hablan por si solos pero el presidente necesita el trabajo de el congreso para aplicar el cambio sin pasar por alto el poder judicial,1
3,unotv,danielcampechano8570,19/05/2024,Pero que falla de ética y fe poca vergüenza culpar al gobierno de hoy presente es una ofensa para el pueblo después que los gobiernos anteriores fueran el cáncer de México,5
3,unotv,diegohernandez8168,19/05/2024,Xochitl se me figura al emperador palpatine de star wars JAJAJAJJAJA su vibra es muy sisañosa,8
3,unotv,Tammm1982,19/05/2024,Aunque me cae mal Xóchitl definitivamente se necesita invertir en ciencia y tecnología. México tiene mucha fuga de cerebros; además de que mucha gente muy preparada en el área de las ciencias de queda a únicamente dar clases; lo cual aunque es muy loable honestamente es triste pues no se explotan y aplican sus conocimientos al cien por ciento.,2
3,unotv,AnreyDejesus,19/05/2024,Claudia y Morena este 2 de junio arrazara en todo el país con un amplio margen,6
