User,arroba,hora de publicación,publicación
White Label,@churromansini,19:59,"""Pre de votos en actas contabilizadas, Claudia Sheinbaum con un 58% de los votos, valió madre #EleccionesMéxico2024 #EsClaudiaPresidentaDeMéxico"""
Italo Caro ⚔️🛡️🎮,@italo_caro,19:59,"""Y comienzan ... Los 2024 juegos del hambre... #EleccionesMéxico2024"""
Некромант - 蜥蜴郎 - Van Ghoul,@ozvanghoul,19:59,"""Si la tendencia continúa, solo me queda decir que gracias a ustedes bola de idiotas que votaron por morena, México se puede y se va a ir bien a la chingada #EleccionesMéxico2024"""
Barbón,@Isra_GuerreroB,19:59,"""Así arranca el PREP del INE: #EleccionesMéxico2024"""
La Guardia Noticias,@LaGuardiaMX,19:59,"""Así arranca #PREP del @INEMexico para la Presidencia de México. #EleccionesMéxico2024 #Elecciones2024MX 👍🏻 #Casilla24"""
Ángel Metropolitano,@angelmetropoli,19:59,"""🗳️ #EleccionesMéxico2024 l Alicia Bárcena, afirmó en su cuenta de la red social X que la votación de los mexicanos en el exterior mostró una “afluencia extraordinaria”. #INE #México"""
Graymer Méndez,@graymermendez,19:59,"""#México tiene la primera mujer en la historia democrática en ser Presidente de la nación Azteca @Claudiashein #EleccionesMéxico2024 @RedAMLOmx"""
Jesus Axel CG,@cuapio_axel,19:59,"""EL PREP, DA COMO GANADORA A CLAUDIA SHEINBAUM AL INICIO. #EleccionesMéxico2024"""
Raul Aguirre G ,@RaulAguirre07,19:59,"""Replying to @mario_dico50 @Claudiashein and @Xochitl2024 Estás bien dañado, está gente no tiene remedio. Disfruten de ver estos frustrados despedirse nuevamente por seis años más... #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
Carlos Ramirez Zago,@carlos_ramzago,19:59,"""Los primeros datos del #PREP favoreciendo a Claudia Sheinbaum @Claudiashein #EleccionesMéxico2024"""
Arcz,@lArczl,19:59,"""Xóchitl viendo el resultado del PREP donde gana Claudia xd #EleccionesMéxico2024"""
Margarita Alcaraz,@Margaritalcaraz,19:58,"""Hoy mujeres votamos, pueden ser votadas para cargos de elección popular y tenemos presencia en una historia de hechos concretos y aquí junto a la ciudadana que sufragó por primera vez de forma libre y secreta inicia compromiso con su patria @alicia_fayad #EleccionesMéxico2024"""
Panda del Amor.,@PandaDelAmor16,19:58,"""El PREP de Veracruz en ceros pero ya en línea. #EleccionesMéxico2024"""
Simpsonito,@SoySimpsonito,19:59,"""Salen los primeros datos del PREP: Las oficinas de Claudia Sheinbaum / Las oficinas de Xóchitl Gálvez / Las oficinas de Jorge Álvarez Máynez. #EleccionesMéxico2024"""
Diana Hernadez,@DianaHe88674657,19:59,"""Pues ya vi el PREP, así que voy a dormir, no me despierten en 6 años😭 #PREP #EleccionesMéxico2024 #MexicoLibre #morenadestruyendoaméxico"""
Gerson con H,@6erson22,19:59,"""Huele a que el #PREP comenzó cargado, no? #EleccionesMéxico2024🇲🇽"""
ALFREDOMATTA,@ALFREDOMATT4,19:59,"""ARRANCA EL PREP CON CLAUDIA SHEINBAUM GANADORA. Supera a Xochitl por el DOBLE de votos!!! 35% Xochitl vs 65% Claudia! No que las encuestas estaban cuchareadas? #Prep #ClaudiaPresidentaDeMéxico2024 #Ganadora #EleccionesMx2024 #EleccionesMéxico2024 #Televisa #Ganamos 'Ganó Claudia'"""
Enrique Villanueva - El Opinador,@ElOpinadorTV,19:59,"""El gran perdedor, la ciudadanía. El INE proyecta participación en las votaciones del 56.61% Seguimos buenos para quejarnos, pero no para levantarnos y hacer algo al respecto. Y con la güeva como bandera, México seguirá inmóvil con y sin políticos. #EleccionesMéxico2024"""
