User,arroba,hora de publicación,publicación
Blade Musk,@Blade Musk,None,"Puro Burro con primaria Trunca vota por el PAN Y PRI."
Fatima,@Fatima,None,"PURO JODIDO VOTA POR MORENA."
Christian Marín,@Christian Marín,None,"Hay que derrocar esta dictadura!!"
VladyUcXD,@VladyUcXD,None,"🧡 Apoyo a Movimiento Ciudadano con mis emojis."
Fatima,@Fatima,None,"PURO JODIDO VOTA POR MORENA."
Santiago Alejandro Gomez Moreno,@Santiago Alejandro Gomez Moreno,None,"Puro gay vota Xochitl."
Flipe Llergu,@Flipe Llergu,None,"LLOREN CUANDO CLAUDIA SEA PRESIDENTA!!! JAJAJAJA."
Alejandra Rosales,@Alejandra Rosales,None,"JAJAJA LOS QUE QUIEREN SENTIRSE INTELIGENTES Y DE LA ALTA VOTAN POR COCHITL."
Wendy Tiznado,@Wendy Tiznado,None,"Va a ganar Xóchitl."
Karina,@Karina,None,"A los del PRI les falta 🧠."
JahenAust,@JahenAust,None,"Vamos Claudia, quiero seguir vendiendo micheladas ilegales sobre mi banqueta sin pedo!!! M O R E N A G A N A!"
Eduardo Perez,@Eduardo Perez,None,"LE QUIEREN DEJAR EL PAÍS A UNA JUDÍA."
Brianna Salazar,@Brianna Salazar,None,"Ya mucho pedo, qué tiene si alguien vota por MORENA a ustedes qué."
Alejandra Rosales,@Alejandra Rosales,None,"JAJAJA LOS QUE QUIEREN SENTIRSE INTELIGENTES Y DE LA ALTA VOTAN POR COCHITL."
EMILY,@EMILY,None,"Que gane el PAN."
Blade Musk,@Blade Musk,None,"Puro Burro con primaria Trunca vota por el PAN Y PRI."
Romo Mendez,@Romo Mendez,None,"La Xóchitl va a regresar a vender gelatinas cuando Claudia gane."
juan martinez,@juan martinez,None,"Qué lástima que Morena tuvo que robar para poder ganar!!!"
Elsa Hernandez,@Elsa Hernandez,None,"Claudiaaa. Apoyo a Claudia para presidenta."
Flipe Llergu,@Flipe Llergu,None,"¿A qué hora nos convertimos en Venezuela del Norte?"
Gostfanter,@Gostfanter,None,"Dejen que se ardan, adiós al PRI y al PAN."
Hector GD,@Hector GD,None,"PURO JODIDO VOTA POR XOCHITL."
JahenAust,@JahenAust,None,"Vamos Claudia, quiero seguir vendiendo micheladas ilegales sobre mi banqueta sin pedo!!! M O R E N A G A N A!"
Leticia Carpenter Fuentes,@Leticia Carpenter Fuentes,None,"XOCHILT PRESIDENTA SOMOS MÁS LOS QUE QUEREMOS DEMOCRACIA. FUERA MORENA, FUERA COMUNISMO!"
Gerardo,@Gerardo,None,"COMPREN POMADA DE LA CAMPANA PARA EL ARDOR, PORQUE VA GANANDO MORENA."
Juan Delgado,@Juan Delgado,None,"Puro que no sabe pronunciar la 'R' vota por Xóchitl."
Lila Gonzalez,@Lila Gonzalez,None,"Nuestra Dra. Claudia será nuestra presidenta."
Darkzero3030,@Darkzero3030,None,"Jajajaj perdió Xóchitl jajajajaja."
Blade Musk,@Blade Musk,None,"Puro Burro con primaria Trunca vota por el PAN Y PRI."
Camila Cruz,@Camila Cruz,None,"VAMOS CLAUDIA."
Fatima,@Fatima,None,"Puro chairo por aquí."
Hector GD,@Hector GD,None,"PURO JODIDO VOTA POR XOCHITL."
alejandro sanchez,@alejandro sanchez,None,"Les tocó llorar a las tías panistas."
xBlonnd,@xBlonnd,None,"Si los riquillos votan por el Prian, con Morena sí pagan sus impuestos."
La verdad sin culpar al mundo,@La verdad sin culpar al mundo,None,"Puerto ratero vota por Xóchitl Gálvez."
Alejandra Rosales,@Alejandra Rosales,None,"JAJAJA LOS QUE QUIEREN SENTIRSE INTELIGENTES Y DE LA ALTA VOTAN POR COCHITL."
JahenAust,@JahenAust,None,"Vamos Claudia, quiero seguir vendiendo micheladas ilegales sobre mi banqueta sin pedo!!! M O R E N A G A N A!"
Graciela Jiménez,@Graciela Jiménez,None,"Seamos honestos, algo está haciendo muy mal el PRIAND!"
Clarissa,@Clarissa,None,"GANÓ CLAUDIA."
Santiago Alejandro Gomez Moreno,@Santiago Alejandro Gomez Moreno,None,"Papien a Fátima."
Gerardo,@Gerardo,None,"Xóchil ya le quitó el puesto a Brozo jajaja."
Miguel Frias,@Miguel Frias,None,"Puro homosexual vota por el PRIAND."
Daniel Marquez,@Daniel Marquez,None,"57% dice el INE para Claudia!!!!!!"
Z E T H O R,@Z E T H O R,None,"Ya quiero ver a Xóchitl y a Vicente Fox bien ardidos 💋💋💋."
Minerva Pintado,@Minerva Pintado,None,"MÁYNEZ MÁYNEZ MÁYNEZ MÁYNEZ 🧡🧡🧡🧡🧡🧡🧡."
El finos 🎩,@El finos 🎩,None,"Maynez sigue ganando. ¡México gana!"
Roberto De la cruz,@Roberto De la cruz,None,"Aunq nos llamen chairo les damos palo."
Alex Olsen,@Alex Olsen,None,"CLAUDIA SHEIN PRÓXIMA PRESIDENTA 💋💋💋💋."
Santiago Alejandro Gomez Moreno,@Santiago Alejandro Gomez Moreno,None,"Xóchitl zzzz."
Marcela Chagoya,@Marcela Chagoya,None,"¿Quién votaría por Xóchitl? El PAN que nos ha robado miles."
Teresa Madrid,@Teresa Madrid,None,"MAYNEZ ES FIFE."
JahenAust,@JahenAust,None,"Vamos Claudia, quiero seguir vendiendo micheladas ilegales sobre mi banqueta sin pedo!!! M O R E N A G A N A!"
camila Magaña Ángeles,@camila Magaña Ángeles,None,"VIVA XOCHITL GALVEZ 💗💗"
Pandita azul,@Pandita azul,None,"Pobre Maynez, apenas va ocho por ciento de votos."
Saúl Saboo,@Saúl Saboo,None,"Prianista el que lo lea. Crítica al PRI y al PAN."
Alex Hear,@Alex Hear,None,"Xóchitl presidenta!!!! Primera presidenta de México."
Andrea Pérez,@Andrea Pérez,None,"VAMOS XOCHITL"
Abel Blas,@Abel Blas,None,"Arriba Morena 🤭"
Luis Garcia Flores,@Luis Garcia Flores,None,"El PRI robó más, acuérdense"
호석정,@호석정,None,"Ya vi a los xochilovers llorando porque van a tener que trabajar 😱😹"
Colette Gutierrez,@Colette Gutierrez,None,"GANÓ CLAUDIA"
A. Isaac,@A. Isaac,None,"Ya dejen de hablar y digan quién va ganando 🚬🗿."
Farah,@Farah,None,"Voten por morenaaaaaa, es el futuro que necesitamos."
Rubikeo con awita de nuez,@Rubikeo con awita de nuez,None,"Los que votaron por Claudia se van a arrepentir luego, pero ya será tarde."
KATHYGODOY🐍🐍,@KATHYGODOY🐍🐍,None,"Ganó el nuevo PRI-AN? Ósea Morena! El cambio disfrazado."
el pana miguel,@el pana miguel,None,"Fuera Morena, no más destrucción para nuestro país."
xcristo_7u7x,@xcristo_7u7x,None,"Morenaaaaaa my love 💘, el amor por el cambio real."
POU,@POU,None,"Va ganando Claudia con 59% dice el PREP, cada vez más cerca."
Dulce María,@Dulce María,None,"Xóchitl gana, el cambio es ahora."
Tony Vega D Oz,@Tony Vega D Oz,None,"Viva Claudia GOD, es tiempo de avanzar juntos."
Gol Manía,@Gol Manía,None,"Arriba Morena, México despierta de una vez por todas."
SYMG,@SYMG,None,"Morena ya ganó ♥♥, el país avanza al futuro."
Gutierrez Yadira,@Gutierrez Yadira,None,"Claudia para presidenta, el cambio que merecemos."
Ashley Abril Castillo Gutiérrez,@Ashley Abril Castillo Gutiérrez,None,"Fuera Morena, basta de lo mismo disfrazado de cambio."
AaronGM1999,@AaronGM1999,None,"Puro gato con Claudia, ya sabemos quiénes la siguen."
Maribel Perez,@Maribel Perez,None,"No manda ya el gobierno, manda el pueblo. Claudia presidenta!!! Le pese a quienes vivían de los beneficios del PAN y el PRI."
Magdalena,@Magdalena,None,"¿Ganó Claudia??? 🤨🤳, parece que todo apunta hacia allá."
Don_Pendejo,@Don_Pendejo,None,"México venezolano 🗣🔥, cada vez más lejos del futuro prometido."
Carlos Cahuich,@Carlos Cahuich,None,"Vamos Doctora Claudia, estamos contigo."
Luna Garcia Valeria,@Luna Garcia Valeria,None,"Gente, México jamás va a ser Venezolano, no caigan en esos miedos."
el pana miguel,@el pana miguel,None,"Morena, la destrucción de México, necesitamos un cambio verdadero."
Billy Butcher,@Billy Butcher,None,"Tus perros ya valieron vrg 🗣🔥, no hay marcha atrás."
2caz3,@2caz3,None,"No tengo amigos morenos 🙅🦧🔴⚫🤓, cada quien con su camino."
Eddy GC,@Eddy GC,None,"Pfff, lamentable la zurdificación de la comentocracia, cada vez más polarizado todo."
Alexia,@Alexia,None,"Ya acabó el sexenio y ni sus luces de Venezuela. Yo no sé cuándo seremos Venezuela, es un misterio de los habladores."
