User,arroba,hora de publicación,publicación
🇮🇱Meir Palacios | מאיר פלסיוס,@MeirPalaciosFr,6min,"""Me tocó votar por primera vez para presidente y jefe de gobierno. Quiera Dios que los próximos años sean de prosperidad para este bendito país. ¡Viva la libertad! ¡Viva la democracia! ¡Viva México! #VotaMéxico2024 #EleccionesMéxico2024 #XóchitlGálvezPresidenta"""
Matrix,@Alexag171,31s,"""En respuesta a @alvaro_delgado #ClaudiaPresidentaDeMéxico2024"""
Mariel Gutièrrez,@Marielamaga,46s,"""En respuesta a @Xochitl2024 Soy OBRADORISTA y hoy voté TODO MORENA, empezando por #ClaudiaPresidentaDeMéxico2024"""
Paulino OL,@PaOliivee,1min,"""En respuesta a @lopezobrador_ Lo queremos mucho presidente.Siempre será recordado como el mejor y no vamos a permitir que los corruptos regresen a destruir todo. #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará #Azcapotzalco"""
Ere Flores,@ereflorsanz,3min,"""Acá en Alcaldía Cuauhtémoc, CDMX. #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024 #YaVoté 🇲🇽💪🏼🗳️"""
UliGonza99,@Gonza99Uli29932,3min,"""Hoy gana #Mexico, hoy se continúa con la #CuartaTransformación #VotaPorMéxico #VotaMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
Ponce Ponce,@THebalderrama,4min,"""Qué sea un clásico cada 6 años mandar a chingar a su padre al PRIAN-MC #ClaudiaArrasará #ClaudiaPresidentaDeMéxico2024 @catrina_nortena @NortenaCatrina"""
Jhonatan Jardines🇺🇦🇲🇽🏳️,@jhonjardines,4min,"""#ClaudiaPresidentaDeMéxico2024 #Orgullosamentedel movimiento"""
Lynn Torres 🇲🇽,@LynnTorresCAN,4min,"""Mi voto desde Canadá y el voto de mi hermosa madre de 75 años desde Veracruz es por @Claudiashein !! #ClaudiaPresidentaDeMéxico2024"""
ivan,@IvaneskicIvan,5min,"""En respuesta a @AbramCalzada #PlanC_YaEstáEnMarcha #ClaudiaPresidentaDeMéxico2024"""
Ana Lila Juárez,@123Analila,5min,"""En respuesta a @ricardo36677659 #SigamosHaciendoHistoria #ClaudiaPresidentaDeMéxico2024"""
ivan,@IvaneskicIvan,6min,"""En respuesta a @MaxKaiser75 #ClaudiaPresidentaDeMéxico2024"""
Гектор Hippodamoio (Gektor) ☭,@Gektor09,8min,"""Listo!!! Del lado correcto de la historia.✌️😎 #ClaudiaPresidentaDeMéxico2024"""
Jafet Guerrero,@jafetoide,10min,"""@Claudiashein Presidenta: #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará #EleccionesMéxico2024"""
El cantante,@cabodel47,10min,"""Por la continuidad de este gran movimiento! #VotoTodoMorena #ClaudiaPresidentaDeMéxico2024"""
Aldair R S,@Aldair_RmzS,11min,"""Orgullosamente mi voto por la Dra. @Claudiashein 😎🇲🇽🏳️‍🌈 #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
Arturo Nicolás,@arturorockero,11min,"""Listo 6 de 6 #TodoMORENA #ClaudiaPresidentaDeMéxico2024 #ParaisoTabasco #EleccionesMéxico2024"""
Dav--,@davmariscal,14min,"""En respuesta a @memobarba #ClaudiaPresidentaDeMéxico2024"""
Edgar Dávalos,@davalos96938312,16min,"""PLAN C #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
Huitzilin Alberto 🍀🇲🇽,@Alberto_Hark,17min,"""Sudado y despeinado pero feliz de contribuir a la continuidad de la Cuarta Transformación #ClaudiaPresidentaDeMéxico2024"""
jacinto metalero,@alezbutowsky,18min,"""En respuesta a @Xochitl2024 #ClaudiaPresidentaDeMéxico2024"""
Eduardo Cartre,@edcartre,19min,"""Por otros 6 años de transformación #ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024"""
Arrobita,@Arrobita20,19min,"""#ClaudiaPresidentaDeMéxico2024 #RocioGobernadora"""
Güera Cardiel,@tsonialopez,19min,"""Y siguen mintiendo. #ClaudiaPresidentaDeMéxico2024. Ahí votó mi nieto POR PRIMERA VEZ y todos sus compañeros. Muy orgullosos de que Claudia los represente. La Sra X les da vergüenza"""
OmniPresente,@OmniPresente,21min,"""Listo! #EleccionesMéxico2024 #VotoTodoMorena #VotoProClaudia #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
Mynna ॐ,@Corammy,21min,"""Que orgullo haber votado por Claudia, sentí bien bonito 🥰 #ClaudiaPresidentaDeMéxico2024"""
Nicolás Valenzuela,@Nicolas_V_4,22min,"""#ClaudiaArrasará #ClaudiaPresidentaDeMéxico2024 #EsUnHonorEstarConObrador"""
Romualdo Belascoarán Shayne 🌐,@aldu_frijolillo,22min,"""Es un honor votar por un gobierno de izquierda que su prioridad son los Mexicanos más vulnerables y que siendo congruente ha fomentado la participación de la mujer en el actuar político. #ClaudiaPresidentaDeMéxico2024 Un abrazo querido @lopezobrador_ se te extrañará."""
Felipe rosas vargas,@pipe_rv,23min,"""Vamos con todo por el Plan C @Claudiashein #ClaudiaPresidentaDeMexico2024 #ClaudiaArrasa"""
ARTURO CABUTO,@kabras3,24min,"""#votaciones2024 #ClaudiaPresidentaDeMéxico2024 #morena #claudia20242030 #clarajefacdmx"""
Jorge Arturo,@JA_RoMagno,24min,"""En respuesta a @pedroferriz3 y @XochitlGalvez Ridícul@!! Cuentalos Bien, #ClaudiaPresidentaDeMéxico2024"""
Daniela,@LaNietaIncomoda,25min,"""Yo ya vote, sin miedo y en libertad #ClaudiaPresidentaDeMéxico #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará #EleccionesMéxico2024"""
👩‍⚕️🇲🇽👨‍⚕️Oscar Martínez,@oscar_froylan,26min,"""Amor con amor se paga #GraciasAMLO #ClaudiaPresidentaDeMéxico2024 #EsUnHonorEstarConObrador"""
miguel melendez,@maml_t,26min,"""It's Done!! #ClaudiaPresidentaDeMéxico2024 #ClaraJefaDeGobierno #PlanC_ConVotoMasivoPorMorena2024"""
