User,arroba,hora de publicación,publicación
Rogelio Gálvez,@elrosher,10:59,"""Convicción, Valores, Ética, Vida & Familia ✅🙏🏻 @EVerastegui @Adriana69197473 @YadeeBlair #EleccionesMéxico2024 #VotoPorMéxico"""
Alfredo PECA,@Alfredo65824357,10:59,"""#ClaudiaPresidentaDeMéxico2024 Ya voté por mi Presidenta"""
Alfredo PECA,@Alfredo65824357,10:59,"""#ClaudiaPresidentaDeMéxico2024"""
tío gas gas,@Gustavo68187495,10:59,"""#ClaudiaPresidentaDeMéxico2024 Hoy se largan los prianistas a chsptm"""
Samuel Sta Rosa S.,@SAMUELSTARSZ,10:58,"""En respuesta a @eltemagv #ClaudiaPresidentaDeMéxico2024 #PlanC"""
Adry Campero ☆ ˃̵ᴗ˂,@Adry_Campero,10:57,"""Que Viva! Que Viva la Soberanía Popular! Que Viva la #4taTransformación 🇲🇽"""
Antonio,@aga205,10:56,"""Mi voto #ClaudiaPresidentaDeMéxico2024"""
Verónica Sánchez,@Verosan_10,10:56,"""#ClaudiaPresidentaDeMéxico2024"""
lizette LM,@lizlias18,10:53,"""¡Qué viva! #ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024"""
Marisa Martínez M. 💜💚,@mouga,10:52,"""#LlegamosJuntas #ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024"""
Aldo Hamelin,@aldohamelin,10:50,"""Todo Morena es Claudia es AMLO es México #ClaudiaPresidentaDeMéxico2024"""
😊💡,@rociojonas1,10:50,"""@Claudiashein #ClaudiaPresidentaDeMéxico2024 #EleccionesMexico2024 #ClaudiaPrimeraPresidenta mi voto hubo mala organización pero esperé hasta dar con la casilla correspondiente 🤓🙅‍♀️"""
Christian,@ch_navalo,10:59,"""El segundo piso de la #4T #ClaudiaPresidentaDeMéxico2024"""
R Garza,@Roberto_Garzza,10:59,"""#ClaudiaPresidenta2024 #ClaudiaPresidentaDeMéxico2024 #PlanCYaEstaEnMarcha"""
Luis Antonio,@cid_seven,10:59,"""Puerto de Veracruz #ClaudiaPresidentaDeMéxico2024"""
Manuel R,@Mangolo,10:43,"""Listo 6 de 6 #ClaudiaArrasará #ClaudiaPresidentaDeMéxico2024"""
Rick Cardo Cabot,@RicardoCabo21,10:37,"""En respuesta a @vannessarr y @lopezobrador_ Nunca pensé en sentir lo que siento por un presidente de México y AMLO lo ha logrado: ¡Orgulloso de él, de su equipo y de lo que ha hecho por este país! De nuestra próxima presidenta #ClaudiaPresidentaDeMéxico2024 estoy seguro que se agregarán aún más emociones positivas."""
OLIVIA MARTINEZ🇲🇽♥️,@OLINONON,10:36,"""En respuesta a @RGC_Mx Listo ✅ #ClaudiaPresidentaDeMéxico2024"""
Beatriz Navarrete Avila,@AvilaBestriz,10:35,"""En respuesta a @rafaswitch_ y @carlossalces Jajajaja jajaja como les duele!!! #ClaudiaPresidentaDeMéxico2024"""
Mauricio MGL,@MglMauricio,10:34,"""Listo gente bonita, 5 de 5 para Morena. La Dra. Claudia Sheinbaum @Claudiashein será nuestra próxima Presidenta. ¿Y tú qué esperas? ¡VOTA! #PlanC_YaEstáEnMarcha #VotoMasivoPorMorena #ClaudiaPresidentaDeMéxico2024 #SuguiremosHaciendoHistoria RT🤗👇"""
Meike Leistenschneider,@MeikeLSCH,10:34,"""TODO MORENA #ClaudiaPresidentaDeMéxico2024 #ClaraBrugadaJefaDeGobierno"""
Sergio Angelo,@soysergioangelo,10:32,"""#PueblaYaDecidió #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
lizette LM,@lizlias18,10:28,"""#ClaudiaPresidentaDeMéxico2024"""
Idalia santos,@Idaliasantos1,10:28,"""#ClaudiaPresidentaDeMéxico2024 #VotoMasivoMorenaPTyPV"""
ING Jose Quintero,@JoseQui58368,10:27,"""En respuesta a @alitomorenoc #VotoMasivoMorenaPTyPV #ClaudiaPresidentaDeMéxico2024 listo"""
Ḉεѕαʁ Ŝαлᶗɧɘɀ,@YSomelleraa,10:23,"""Que Xochitl ya votó. Pero es tan zonza, que tachó el nombre de Claudia en lugar del suyo.🤭🤭 No es cierto, pero sí es posible.😂 #ClaudiaPresidentaDeMéxico2024"""
Sergio Angelo,@soysergioangelo,10:22,"""🇲🇽 Yo ya cumplí con mi país. ¿Y tú? ¡Haz que tu voz se escuche y participa en la construcción de nuestra nación! #OrgulloMexicano #Elecciones2024 #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
Angelica Palacios,@AngelicaPa85048,10:22,"""TODO MORENA #PlanC #ClaudiaPresidentaDeMéxico2024 Ningún paso atrás, a continuar con la #4taTransformación 🫶🫶🫶🫶"""
ElAbogadoDelDiablo 💧🦉🇲🇽,@BONOelChairo,10:22,"""#ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024 #EsClaudia Ya lo pronosticaron y así será ✊!!!"""
Marco,@Procopius_soy,10:21,"""Hoy y siempre solo Izquierda. #VotoMORENA 6 de 6 #YaVoté #ClaudiaPresidentaDeMéxico2024"""
Sofía,@sophye2507,10:20,"""Hoy México hace historia eligiendo a la primer mujer como presidenta de nuestro país #ClaudiaPresidentaDeMéxico2024"""
Susana T. Pedroza 🗝,@spedroza_12,10:19,"""Mi voto para la presidencia de la República fue para @Claudiashein, quien es una persona preparada, con conocimientos, experiencia, que ha luchado por las causas sociales y nos representará de forma excelente a nivel nacional como internacional. #ClaudiaPresidentaDeMéxico2024"""
Guadalupe Domínguez,@Lupis53,10:18,"""__ #EsUnHonorEstarConClaudiaHoy __ #ClaudiaPresidentaDeMexico2024 !!!!__ #AMLOLujoDePresidente !!!!__ 🇲🇽 __"""
María Ramírez,@mrvalderrama2,10:16,"""#ClaudiaPresidentaDeMéxico2024 Lo que los conservadores llaman ""elección de Estado"", los ciudadanos le llamamos: RESULTADOS DE GOBIERNO. Algo que ellos NUNCA hicieron porque era más importante ROBAR."""
Mtra. Alesita,@tlppomnnlwlce,10:16,"""#ClaudiaPresidentaDeMéxico2024 Es tiempo de construir el segundo piso #JuntosHaremosHistoria #EsUnHonorEstarConObrador"""
Guadalupe Domínguez,@Lupis53,10:14,"""En respuesta a @epigmenioibarra y @Claudiashein __ #ClaudiaPresidentaDeMexico2024 __ #EsUnHonorEstarConClaudiaHoy!!!__ #AMLOLujoDePresidente !!!!__ 🇲🇽 __"""
Mundo Rodríguez.,@Mundo_Rodriguez,10:14,"""#ClaudiaPresidentaDeMéxico2024"""
MANUEL LOPEZ,@AbaIvMon,10:13,"""#ClaudiaPresidentaDeMéxico2024"""
alexa,@alexa25648511,10:13,"""En respuesta a @Claudiashein Viva!! Nuestra próxima presidenta #ClaudiaPresidentaDeMéxico2024"""
Ari,@ariel_dunphy,10:12,"""México no necesita una calca, ni quién le chupe la verga al narco, bye Morena #ClaudiaPresidentaDeMéxico2024"""
Yamil🇲🇽,@Aquinahua82,10:12,"""Seguimos firme con la Cuarta Transformación #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
Sol Borjas 🏳️‍🌈🇲🇽,@solborjas84,10:11,"""#ClaudiaPresidentaDeMéxico2024"""
Karim Fabian Tellez Ramirez,@karim_fabian,10:10,"""En respuesta a @Claudiashein Que viva Claudia Sheinbaum @Claudiashein #ClaudiaPresidentaDeMéxico2024"""
@libyDino,@libydino,10:10,"""Hoy hacemos historia otra vez como en el 2018, la 4T abre las puertas a la igualdad y equidad la primera mujer presidenta en México #ClaudiaPresidentaDeMéxico2024"""
MDGA,@MDGA12,10:08,"""Hoy como en el 2018 será un día histórico para nuestro país, tenemos al mejor presidente de México @lopezobrador_ y tendremos a la primera mujer Presidenta @Claudiashein Porque amo a mi país mi voto fue para MORENA. #ClaudiaPresidentaDeMéxico2024"""
🇲🇽 Alfredo Unbreakable 🛡⚔️🛡️👨🏻💯❤️🇲🇽,@Alfred033MX,10:08,"""El recuerdo de un gobierno que hoy empieza a trascender para las generaciones futuras. ¡GRACIAS Presidente @lopezobrador_ GRACIAS por su legado de la #CuartaTransformación! #ClaudiaPresidentaDeMéxico2024 #EsUnHonorLucharConObrador #EsUnHonorEstarConClaudiaHoy"""
Idalia santos,@Idaliasantos1,10:08,"""#ClaudiaPresidentaDeMéxico2024 #VotoMasivoMorenaPTyPV"""
Mariela Lindero ᥫ᭡,@marielalindero,10:07,"""Voto cumplido 🗳️ #ClaudiaPresidentaDeMéxico2024"""
Idalia santos,@Idaliasantos1,10:06,"""#ClaudiaPresidentaDeMéxico2024 #VotoMasivoMorenaPTyPV"""
Vostok Mertens👍🇷🇺,@chevski56,10:05,"""#ClaudiaPresidentaDeMéxico2024"""
Guadalupe SG,@Soria_GSG,10:05,"""#ClaudiaPresidentaDeMéxico2024"""
Alejandro,@MIREYAPADI98293,10:04,"""Vamos a ganar con #ClaudiaPresidentaDeMéxico2024 y que la transformación de la 4T 🙂👍❤️"""
Jonathan Eguizabal,@john8670,10:04,"""#ClaudiaPresidentaDeMéxico2024 mi voto mío y de todavía mi familia por la doctora Claudia ❤️❤️❤️❤️❤️❤️🇲🇽"""
Azael Martínez,@AzaelMartinezb,10:04,"""#ClaudiaPresidentaDeMéxico2024"""
Yagaxo®,@yagaxo,10:03,"""#ClaudiaPresidentaDeMéxico2024 yo ya voté"""
Francisco,@franciscoreyes,10:03,"""#YoVotoMorena #ClaudiaPresidentaDeMéxico2024"""
Aldo Martello G,@AldoM_Gtz,10:03,"""#ClaudiaPresidentaDeMéxico2024 y seguiremos teniendo un México más próspero, con oportunidades para todos, economía fuerte y estable y por supuesto con infraestructura terrestre como el tren de pasajeros."""
LeonaV,@IMMINJAREZ,10:02,"""En respuesta a @AngMariscal4T #ClaudiaPresidentaDeMéxico2024"""
MANUEL LOPEZ,@AbaIvMon,10:02,"""Acabo de votar y mi voto fue para la Doctora @ClaudiaSheinbaum #ClaudiaPresidentaDeMéxico2024"""
🐞 Monaliza 🐞,@MONALI4T,10:01,"""La Doctora Claudia Sheinbaum candidata al Presidencia de la República. El presidente Andrés Manuel López Obrador y su esposa Beatriz Gutiérrez Müller ya salieron a votar por la próxima presidenta de México, #ClaudiaPresidentaDeMéxico2024 VIVA MORENA El INE Guadalupe Taddei PREP🇲🇽"""
antonio Moya,@antoniovipw,10:40,"""#ClaudiaPresidentaDeMéxico2024 listo"""
Luiss Del Valle  𝕏 💥,@LuissLm,10:29,"""Para los que van a votar por el PRIAN solo porque odian a AMLO. Ojo 👁️ #EleccionesMéxico2024 #EleccionesMx2024 #VotaMéxico2024 #Votaciones2024 #ClaudiaPresidentaDeMéxico2024"""
Sam sam,@Samsam921479,10:10,"""Hoy es cuando veremos que los tweets de miles de bots no pueden votar. Claudia Presidente #ClaudiaPresidentaDeMéxico2024"""
el pobrecillo hablador,@elpobrecillo,10:05,"""Amor con amor se paga #ClaudiaArrasará #ClaudiaPresidentaDeMéxico2024"""
Kbroncito BDK,@CruzDacrca76,10:36,"""#ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará #EsUnHonorEstarConClaudiaHoy"""
EnriqueBugsGonzalez,@EnriqueBugs,10:59,"""En respuesta a @Mandarinnee Triple Chingar a su Madre #AMLO #XochitlGálvezPresidenta24"""
Lonesome Chk,@LonesomeChk,10:59,"""Listo camaradas #EleccionesMéxico2024 #XochitlGálvezPresidenta24 Hay que sacarlos #NarcoCandidata #NarcoPresidente"""
Mónica,@monica_serret,10:59,"""En respuesta a @acastagne Yucatán a 39 con sensación térmica 44, pero aquí estamos #XochitlGálvezPresidenta24"""
Mr A,@Armando71555731,10:59,"""En respuesta a @JackSpartanXX Es una bendición tener a tu padre aún 🙏 el mío partió a ser una estrella más en el firmamento el 4 de febrero de éste año tenía mí viejo 83 años pero su legado continúa y nos enseñó a votar desde la mayoría de edad votar es de Xingones #XochitlGálvezPresidenta24"""
OTC,@ObedTrevino17,10:59,"""En respuesta a @abrahamendieta y @Xochitl2024 Mira! Puro clase mediero aquí en Ags!! Y TODOS VAMOS A VOTAR POR #XochitlGálvezPresidenta24 #EleccionesMéxico2024 joder tío!!"""
Montse González-Meza,@montsegmr,10:59,"""En respuesta a @tatclouthier Totalmente chaira! Por eso #XochitlGálvezPresidenta24"""
Juan Molina,@Juanmolina01,10:59,"""En respuesta a @lpazosp Mucho más que otras elecciones, zona oriente, León GTO 👍👍 #XochitlGálvezPresidenta24"""
Edgar V,@edgarvzz14,10:59,"""En respuesta a @Xochitl2024 Listos, por el deber cumplido por haber hecho nuestra parte, #XochitlGálvezPresidenta24"""
Israel Zamora,@mopso,10:59,"""En respuesta a @Claudiashein Y que muera este mal gobierno!! #XochitlGálvezPresidenta24"""
Maria,@Maria29781091,10:59,"""En respuesta a @EzraHadad Acá ya también todos fuímos. #XochitlGálvezPresidenta24 #EleccionesMéxico2024"""
Luis Alfredo 🧨,@Luis_Morito,10:59,"""#EleccionesMéxico2024 #XochitlGálvezPresidenta24 puro #PAN 💙"""
Yorker,@JRAMADRIGAL,10:59,"""Faltan 6 horas y México lo exige. Sal a votar, cambiemos el rumbo y hagamos patria. #XochitlGálvezPresidenta24"""
Rouse,@elfa79rivendell,10:58,"""En respuesta a @qtf Estoy con #XochitlGálvezPresidenta24 porque yo sí recuerdo cómo iba a Palacio a confrontar las irreverencias de Obrador, iba sola, sin miedo, resaltaba entre todos los cobardes. Me cae bien señora. No me defraude! 🩷🩷🩷🩷 #MareaRosaConXóchitl y #Taboada2024"""
