User,arroba,hora de publicación,publicación
Tuñon Guerrero Fernando, @tuñonguerrerof, None, "Xóchitl está bien"
Sergio, @sergio, None, "xochilt está escondida en su ratonera"
Tuñon Guerrero Fernando, @tuñonguerrerof, None, "bueno es igual que el Peña"
Roberto Franco, @robertofranco, None, "este no sabe lo que dice ya no porque le dieron en la torre a toda la fauna y ecosistema con su porquería de tren maya 😛"
Guadalupe, @guadalupe, None, "va a ganar Claudia"
John Wiston, @johnwiston, None, "k salga la Xóchitl a dar la cara y a bailar como payasita"
Roberto Franco, @robertofranco, None, "ni modo va a gobernar una lagartija 🦎"
Tuñon Guerrero Fernando, @tuñonguerrerof, None, "yo digo que Xóchitl regrese a donde vino"
Maria de Lourdes Cuellar Vazquez, @mariadelourdescv, None, "Claudia gana, a Dios Xóchitl"
Sergio, @sergio, None, "gano la más CHINGONA o sea Claudia 🥳"
Roberto Franco, @robertofranco, None, "pues que les digo que están igual de nefastos e ignorantes que el gobierno actual 😃😅"
Mario Valencia, @mariovalencia, None, "ganó la que tiene mejor respaldo y claridad de un mejor liderazgo"
Guadalupe, @guadalupe, None, "aja ya di Roberto que eres ardido Claudia presidente, chochil en su casa"
Gerardo Lozano, @gerardolozano, None, "Roberto ni tu madre te quiere, me lo dijo ayer después de tremendo parchadón"
Guillermo Canek, @guillermocanek, None, "cómo va la CDMX"
JuanMa Morales, @juanmamorales, None, "TODO MENOS MORENA"
Fátima SC, @fatimasc, None, "Fuera Morena 😘"
Enrique Aldana, @enriquealdana, None, "que ya salga Viri Ríos"
Yael Muisc, @yaelmuisc, None, "vamos Xóchitl"
JepJepstory, @jepjepstory, None, "morena= pobres conformistas"
Shionx Vx, @shionxvx, None, "ya ganó Claudia"
Jordan Alexander, @jordanalexander, None, "Claudia presidenta"
Raymond Sandoval leal, @raymondsandoval, None, "CLAUDIA"
Angel Ja, @angelja, None, "Claudia vamos"
christian geovani, @christiangeovani, None, "Arriba Claudia y ella ganará 😁"
Luis Angel, @luisangel, None, "CLAUDIA VAMOOOOO"
Jordan Alexander, @jordanalexander, None, "Claudia presidenta Claudia presidenta Claudia presidenta"
Antonio Fernandez, @antoniofernandez, None, "Claudia Presidenta"
LEmON_BArK, @lemon_bark, None, "viva claudia 😍"
Thania Mendez, @thaniamendez, None, "YA GANASTE XÓCHITL 🩷🩷❤❤❤💗💗💗💕💕💖💖💘💘💝💝❤‍🩹❤‍🩹❤‍🩹"
Dario Israel, @darioisrael, None, "🐣🐣GANO CLAUDIA"
Miguel Angelo Rich, @miguelangelorich, None, "arriba la doctora Claudia"
Yolanda Reyes, @yolandareyes, None, "PRESENTA CLAUDIA 🇲🇽🥳 🥳 🥳 🥳 🥳 🥳🥳"
Abraham Choc, @abrahamchoc, None, "qué csm Xóchitl"
Oswaldo Jimenez, @oswaldojimenez, None, "gane quien gane, lo único que importa es que pierda Claudia"
Axel Rojas, @axelrojas, None, "ARRIBA MORENA"
Miranda, @miranda, None, "MARISOL DOMÍNGUEZ PRESIDENTA🫦🫦‼‼"
Marcusmonkey2000, @marcusmonkey2000, None, "arriba Maynez 🧡🧡"
BRAYAM MP, @brayammp, None, "bravo morenistas la cagaron buenos para nada"
PoisonedDollitaa, @poisoneddollitaa, None, "MARISOL DOMÍNGUEZ PRESIDENTA ❗❗❗❗"
Andrea Natalia Sandoval Rodríguez, @andreasandoval, None, "FUERA MORENA! RATEROS!"
Yanett Serna, @yanettserna, None, "CLAUDIA ✨"
Guillermo Canek, @guillermocanek, None, "Xóchitl ganó, unas memizas"
Marcusmonkey2000, @marcusmonkey2000, None, "Maynez Maynez 🧡💛"
Shikmawbom, @shikmawbom, None, "VAMOS PRICHOS"
María Fernanda, @mariafernanda, None, "q gane xochitl"
