"Edgar Hernández","@LineaCalienteEd","16:58","Menos de 1 hora para ir a votar. ¡Correee!  EleccionesMéxico2024","menos de 1 hora para ir a votar.¡correee!elecciones en méxico 2024","0","0","0","1"
"CuartaPlana Oaxaca","@CuartaPlana","16:20"," Enterate | Hasta las 16:00 horas se tenían 5 mil 892 casillas instaladas en  Oaxaca. Representan el 99.54 por ciento. La elección ha transcurrido sin incidencias, reporta el @IEEPCO https://cuartaplana.com/index99.php?nota=53756  Noticias  BuenDomingo  FelizDomingo  EleccionesMéxico2024","entérate hasta las 16:00 horas se tenían 5 mil 892 casilla electoral instaladas en Oaxaca.representan el 99.54 por ciento.la elección ha transcurrido sin incidencias,reporta el ieepco https:cuartaplana.com index99.php?nota 53756 noticias buen domingo feliz domingo elecciones en méxico 2024","0","0","0","-1"
"Gattaca X","@RossyTolentino","12:38","Replying to @ryo_hermoso Chihuahua y  YoVotéPorXóchitl  yavotéporxóchitl  XochitlGálvezPresidenta24  XoxhitlGálvezPresidente2024","replying to ryo_hermoso chihuahua y ya voté por xochitl ya voté por xochitl xochitl galvez presidenta 2024 xochitl galvez presidenta 2024","1","0","0","0"
"Farah","@Farah","21:02","Voten por morenaaaaaa, es el futuro que necesitamos.","voten por morenaaaaaa,es el futuro que necesitamos.","0","1","0","0"
"FERMOR","@FERMOR_23","08:03","Si te da flojera hacer fila, imagina hacer fila todos los días.  InundemosLasUrnas","si te da flojera hacer fila,imagina hacer fila todos los días.inundemos las urnas","0","0","0","-1"
"PatCouret","@PatCouret","09:13","En respuesta a @PatCouret  ClaudiaPresidentaDeMéxico2024  PlanC  VotoMasivoMorenaPlanC","en respuesta a patcouret claudia será la siguiente presidenta de méxico en 2024 plan C voto masivo para MORENA, Plan C","0","1","0","0"
"CARACUS 🇲🇽","@caracusmx","08:49","Vamos a recuperar la libertad donde hoy gobierna el autoritarismo.  XóchitlGálvezPresidenta","vamos a recuperar la libertad donde hoy gobierna el autoritarismo.xochitl gálvez será la presidenta","1","0","0","0"
"Olivia Salomón","@OliviaSalomonV","18:57","No te pierdas el detalle de los preliminares de este proceso electoral histórico que vivimos las y los mexicanos. En el siguiente enlace esta la conferencia de prensa  EnVivo, que cabezada por el presidente nacional de @PartidoMorenaMx, @mario_delgado  EleccionesMéxico2024","no te pierdas el detalle de los preliminares de este proceso electoral histórico que vivimos las y los mexicanos.en el siguiente enlace esta la conferencia de prensa en vivo,que cabezada por el presidente nacional de partidomorenamx,mario_delgado elecciones en méxico 2024","0","0","0","0"
"Drake5 ⚽🟨🟦","@soul_drake5","18:36","Según la encuesta de salida 'Massive Caller', con corte a las 6:00PM, Adrián de la Garza estaría arrasando por la candidatura de  Monterrey  NuevoLeón 💥🗳️.  EleccionesMéxico2024","según la encuesta de salida massive caller,con corte a las 6:00pm,adrián de la garza estaría arrasando por la candidatura de Monterrey Nuevo León.elecciones en méxico 2024","0","0","0","1"
"feba É. Flowers ","@feba_eflores","08:11","Que la unión vuelva a México.  InundemosLasUrnas","que la unión vuelva a méxico.inundemos las urnas","0","0","0","1"
"Miss Ketotifeno**","@MarGarcinez","16:48","Metepec desde las 13 hrs que se acabaron las boletas en casilla del Calvario... hay turba iracunda, con justa razón.  EleccionesMéxico2024","metepec desde las 13 horas que se acabaron las boleta electoral en casilla electoral del calvario...hay turba iracunda,con justa razón.elecciones en méxico 2024","0","0","0","-1"
"Lucia Franco","@franco_lucia","12:58","Con toda la libertad y porque quiero un México mejor  yovotéporxóchitl","con toda la libertad y porque quiero un méxico mejor ya voté por xochitl","1","0","0","0"
"Luis Antonio","@cid_seven","10:59","Puerto de Veracruz  ClaudiaPresidentaDeMéxico2024","puerto de Veracruz claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Ulises","@JesusUlises0393","15:48","En respuesta a @xochitl  YoVotéPorXochitl  XoxhitlGálvezPresidente2024","en respuesta a xochitl yo voté por xochitl xochitl galvez presidenta 2024","1","0","0","0"
"El Dr que no usa bata 👨🏻‍⚕️🇲🇽","@Dr_Sebastian_Ro","10:49","Como debe ser  EleccionesMéxico2024  XochitlGálvezPresidenta24","como debe hacer elecciones en méxico 2024 xochitl galvez presidenta 2024","1","0","0","0"
"Juan Medina","@doctorjuanito","12:48","Que siga la transformación. ❤️  ChairoHastaLasChanclas.  EleccionesMéxico2024  VotaMexico  EleccionPresidencial  Queretaro @claudia sheinbaum @SNietoCastillo","que siga la transformación.chairohastalaschanclas.elecciones en méxico 2024 vota méxico elección presidencial Querétaro claudia sheinbaum snietocastillo","0","1","0","0"
"Travel Guy 42 ✈️ 🚍 🚗","@travel_guy_42","14:54"," YoVotéPorXóchitl","ya voté por xochitl","1","0","0","0"
"Condesa Pro Vecinos","@CondesaVecinos","08:01","Se hizo se logró.  VotoMasivo 🥰 @XochitlGalvez","se hizo se logró.voto masivo xochitl galvez","1","0","0","0"
"Francisco","@franciscoreyes","10:03"," YoVotoMorena  ClaudiaPresidentaDeMéxico2024","yo voto por MORENA claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Huitzilin Alberto 🍀🇲🇽","@Alberto_Hark","14:43","Sudado y despeinado pero feliz de contribuir a la continuidad de la Cuarta Transformación  ClaudiaPresidentaDeMéxico2024","sudado y despeinado pero feliz de contribuir a la continuidad de la cuarta transformación claudia será la siguiente presidenta de méxico en 2024","0","1","0","0"
"Abraham Choc","@abrahamchoc","22:43","qué csm Xóchitl","qué chingue su madre xochitl","-1","0","0","0"
"Ashley Abril Castillo Gutiérrez","@Ashley Abril Castillo Gutiérrez","21:32","Fuera Morena, basta de lo mismo disfrazado de cambio.","fuera morena,basta de lo mismo disfrazado de cambio.","0","-1","0","0"
"ꕥ Andrea X  ꕥ","@AndreaSegen","08:39","Hoy por Xóchitl, por México, por la democracia.  YoVotarePorXóchitl","hoy por xochitl,por méxico,por la democracia.yo votaré por xochitl","1","0","0","0"
"EL OCCIDENTAL","@ELOCCIDENTAL","18:44"," EleccionesMéxico2024 Con datos de tres encuestas de salida, Pablo Lemus candidato de Movimiento Ciudadano dice que ganó la elección por la gubernatura por 20 puntos. Vía. Viridiana Saavedra / El Occidental","elecciones en méxico 2024 con datos de tres encuestas de salida,pablo lemus candidato de movimiento ciudadano dice que ganó la elección por la gobernatura por 20 puntos.vía.viridiana saavedra el occidental","0","0","1","0"
"Grupo Fórmula","@Radio_Formula","16:06","Ciro Gómez Leyva (@ciroGomezL) y Jaime Núñez (@janupi) dan sus percepciones 🗳️🧐 de lo que va de la jornada electoral: La participación parece que ha sido alta y no ha habido tantas incidencias de violencia.  EleccionesMéxico2024  Elige2024","ciro gómez leyva(cirogomezl)y jaime núñez(janupi)dan sus percepciones de lo que va de la jornada electoral:la participación parece que ha sido alta y no ha habido tantas incidencias de violencia.elecciones en méxico 2024 elige en 2024","0","0","0","0"
"Monte❎🕊️","@montes_jr","10:54","Mi granito de arena @xochitl  YoVotarePorXóchitl  EleccionesMéxico2024  XochitlGálvezPresidenta24","mi granito de arena xochitl yo votaré por xochitl elecciones en méxico 2024 xochitl galvez presidenta 2024","1","0","0","0"
