Palabra,Nivel de Intensidad,Sentimiento Asociado,Categoría,Comentarios
chairo,3,Negativo,insulto,Término despectivo contra votantes de izquierda
fifi,3,negativo,insulto,Término usado contra votantes de derecha
populismo,3,Negativo,Expresión Político,Crítica a propuestas políticas.
asqueroso,4,Negativo,Adjetivo,Término coloquial usado para describir desagrado.
mamón,3,Negativo,Insulto,Usado para descalificar.
xd,1,Neutral,Jerga juvenil,Expresión sarcástica de redes sociales.
chochil,3,Negativo,Apodo,Deformación del nombre Xóchitl.
ALV,3,Negativo,Jerga vulgar,Expresión fuerte en redes sociales.
Palabra,Nivel de Intensidad,Sentimiento Asociado,Categoría,Comentarios
chairo,2,Negativo,Insulto,Término despectivo político.
gelatinera,4,Negativo,Apodo,Se refiere despectivamente a un Xóchitl.
verga,4,Negativo,Jerga vulgar,Expresión fuerte usada como exclamación.
botarga,3,Negativo,Apodo,Usado como burla hacia un político.
guajolotera,3,Negativo,Insulto coloquial,Usado para desacreditar a una Xochitl.
bla,2,Negativo,Jerga,Expresión para denotar falta de contenido o propuestas.
madrina,4,Negativo,Jerga,Usado como sinónimo de "golpiza" o derrota verbal.
jaladas,3,Negativo,Jerga,Crítica a ideas o acciones consideradas absurdas.
cartelones,2,Negativo,Metáfora,Se refiere a carteles usados de manera inapropiada en debates.
loca,3,Negativo,Insulto,Usado para desacreditar a un candidato.
payasadas,3,Negativo,Jerga,Se refiere a actos ridículos o teatrales.
arguenderas,4,Negativo,Jerga,Despectivo hacia mujeres que discuten mucho.
gelatinas,4,Negativo,Apodo,Referencia despectiva hacia un candidato.
surrada,4,Negativo,Jerga,Insulto fuerte para criticar moral o antecedentes de alguien.
ctm,4,Negativo,Abreviación,Expresión coloquial vulgar.
chingue,3,Negativo,Expresión de Molestia,Crítica intensa y repetitiva.
frita,2,Negativo,Jerga,Despectivo; implica que alguien ya está derrotado.
mierda,3,Negativo,Expresión Vulgar,Reacción intensa hacia las opciones políticas.
chingar,3,Negativo,Expresión de Molestia,Crítica intensa y repetitiva.
pendejos,4,Negativo,Insulto,Generalmente dirigido a personas sin capacidad crítica
de pechito,2,Negativo,Frase,Expresión coloquial para referirse a alguien que se expuso a críticas o ataques fácilmente.
payaso,2,Negativo,Jerga, Expresión para referirse a alguien que es sarcástico
pinocha,3,Negativo,Insulto,Modificación irónica para "mentirosa"
mmd,3,Negativo,Insulto,Abreviatura de "mamada"
caca,3,Negativo,Expresión coloquial,Crítica agresiva en debates
pancartitas,2,Neutral,Jerga,Crítica a estrategias visuales en debates
pedas,3,Negativo,Jerga,Referencia a eventos de poco impacto o irrelevantes
tranza,2,Negativo,Jerga,Referente a un acto de corrupción
whitexican,4,Negativo,Jerga,Despectivo hacia clase privilegiada o aspiracional
cagada,3,Negativo,Expresión coloquial,Crítica agresiva durante debates
mitómana,3,Negativo,Insulto,Acusación de mentir con frecuencia
chido,3,Positivo,Expresión,Algo que es bueno
cool,3,Positivo,Expresión,Algo que es bueno
pinocha,3,Negativo,Insulto,Usado para referirse a Xóchitl como mentirosa.
pendejada,3,Negativo,Expresión coloquial,Referencias a errores percibidos en debates.
mamadas,3,Negativo,Insulto,Expresión utilizada para criticar discursos.
chicharito,2,Negativo,Objeto,Acusación de uso para recibir ayuda en debates.
Chicharo,2,Negativo,Objeto,Acusación de uso para recibir ayuda en debates.
jodido,3,Negativo,Expresion,Critica las limitaciones del sistema democrático mexicano.
mames,3,Negativo,Expresión,Expresión de descontento
mms,3,Negativo,Contracción,Contracción de no mames
chisme,2,Negativo,Expresión coloquial,Crítica a la falta de contenido en los debates.
pleito,2,Negativo,Jerga,Comparación de debates con discusiones triviales.
meco,3,Negativo,Insulto,Descalificación a la juventud o falta de seriedad.
jodido,3,Negativo,Insulto,Algo que va mal
vrg,4,Negativo,Jerga vulgar,Contracción de "verga"
tontería,1,Negativo,Jerga,Ligero insulto para calificar algo sin importancia.
chingada,5,Negativo,Insulto,Fuerte expresión de enojo o rechazo.
mama,3,Negativo,Insulto,Expresión vulgar y despectiva.
madres,3,Neutral,Jerga,Usado para intensificar una expresión.
culo,4,Negativo,Insulto,Fuerte expresión de confrontación.
fachos,2,Negativo,Jerga,Término peyorativo hacia personas de derecha.
chingar,5,Negativo,Insulto,Fuerte expresión de rechazo hacia Morena.
putito,4,Negativo,Insulto,Término despectivo usado en redes sociales.
chsm,5,Negativo,Insulto,Fuerte insulto contra opositores políticos.
alv,4,Negativo,Jerga,Expresión vulgar para denotar rechazo.
pendejo,4,Negativo,Insulto,Término usado para denotar estupidez.
ratas,3,Negativo,Jerga,Usado para referirse a políticos corruptos.
pinche,3,Negativo,Jerga,Expresión común usada en tono despectivo.
chsptm,5,Negativo,Insulto,Abreviación ofensiva.
chingón,2,Positivo,Jerga,Término coloquial para describir algo o alguien excelente.
cringe,1,Negativo,Jerga,Expresión moderna para describir algo incómodo o vergonzoso.
banda,1,Neutral,Jerga,Referencia coloquial a un grupo de amigos o personas.
bots,2,Negativo,Jerga,Término usado para referirse a cuentas automatizadas o personas percibidas como falsas en redes sociales.
quechsm,5,Negativo,Insulto,Abreviación vulgar de "que chingue su madre".
naco,4,Negativo,Insulto,Término despectivo para describir a alguien sin refinamiento
hdp,5,Negativo,insulto,Abr. de hijo de puta
berrinche,3,Negativo,Crítica hacia sectores
ardido,3,Negativo,Expresión coloquial,Usada para referirse a opositores molestos.
mexinzuela,5,Negativo,Apodo,Referencia despectiva a una supuesta crisis en México.
gay,5,Negativo,Insulto,Expresión homofóbica ofensiva.
payasita,4,Negativo,Insulto,Crítica hacia la oposición.
jodido,3,Negativo,Insulto,Despectivo hacia votantes de Xóchitl.
hambreados,4,Negativo,Jerga,Usado peyorativamente para describir a personas percibidas como vulnerables.
