"num_debate","canal","username","fecha","comentario","num_likes","comentario_editado","Claudia","Maynez","Ninguno","Xóchitl"
"1","universal","perlapatriciamartinezherna3422","07/04/2024","Pésimo, al principio se dedicaron más sacarse los trapitos al sol y  fueron poco claros con sus propuestas. Hay dio podre de nuestro México. ¿Porque al candidato varón le fallaba mucho el audio?","26","pésimo, al principio se dedicaron más sacarse los trapitos al sol y  fueron poco claros con sus propuestas. hay dio podre de nuestro méxico. ¿porque al candidato varón le fallaba mucho el audio?","-1","-1","0","-1"
"1","universal","darkhonoko-ippenshindemiru1511","07/04/2024","Si hace 6 años el debate fue un chiste. El de hoy fue peor, ni a quien irle.","38","si hace 6 años el debate fue un chiste.el de hoy fue peor,ni a quien irle.","-1","-1","0","-1"
"1","universal","mauriciorodriquezvalencia6452","07/04/2024","En la primera pregutna Claudia no respondió como o con que presupuesto se mejoraría el sistema de salud y perdió mucho tiempo con cosas que no eran sobre la pregunta   Jorgue hace por que la gente lo tope  igual perdió tiempo y uso el pupulismo de los niños primero y no dijo nada de valor solo que cubrira los medicamentos de todos y todas las niñas pero el como y el con que quien sabe   Xochitl solo tiro tierra quiere que usa entre a mexico para enriqueser al gobierno de baiden que buena falta le hace (esto con la guerra que quiere hacer contra el narco que obvio veneficiara a la economía privada de las empresas armamentista amrericanas) propuso un nuevo sistema con tarjetas (las cuales serviran seguramente como labado y blanqueo de dinero a nivel gubernamental) y si dinero hay si no se lo roban","16","en la primera pregutna claudia no respondió como o con que presupuesto se mejoraría el sistema de salud y perdió mucho tiempo con cosas que no eran sobre la pregunta jorgue hace por que la gente lo tope igual perdió tiempo y uso el pupulismo de los niños primero y no dijo nada de valor solo que cubrira los medicamentos de todos y todas las niñas pero el como y el con que quien sabe xochitl solo tiro tierra quiere que usa entre a mexico para enriqueser al gobierno de baiden que buena falta le hace(esto con la guerra que quiere hacer contra el narcotraficante que obvio veneficiara a la economía privada de las empresas armamentista amrericanas)propuso un nuevo sistema con tarjetas(las cuales serviran seguramente como labado y blanqueo de dinero a nivel gubernamental)y si dinero hay si no se lo roban","-1","-1","0","-1"
"1","universal","eljc8352","07/04/2024","Se me rompe el corazón, saber que Claudia también miente  por sus respuestas en las preguntas evade   al único que se le ve seguridad mas a maynez!  Esta vez el debate lo ganó maynez en mi opinión","21","se me rompe el corazón,saber que claudia también miente por sus respuestas en las preguntas evade al único que se le ve seguridad más a maynez!esta vez el debate lo ganó maynez en mi opinión","-1","1","0","0"
"1","universal","paradojadelaeternidad5511","07/04/2024","El tiempo lo tenían contado, la mitad de su actitud era estarse culpando en lugar de informarnos desde la convicción de realmente querer cambios, la verdad me decepcionaron los tres, que necesiten atacar al otro para reafirmarse, eso sería más bien hacerlo legal... Será que al pueblo nos gusta el entretenimiento?","6","el tiempo lo tenían contado,la mitad de su actitud era estarse culpando en lugar de informarnos desde la convicción de realmente querer cambios,la verdad me decepcionaron los tres,que necesiten atacar al otro para reafirmarse,eso sería más bien hacerlo legal...será que al pueblo nos gusta el entretenimiento?","-1","-1","0","-1"
"1","universal","user-fe9pk7mh8p","07/04/2024","Se escuchan ecos arreglen el audio","10","se escuchan ecos arreglen el audio","0","0","-1","0"
"1","universal","mauriciorodriquezvalencia6452","07/04/2024","Pesimo el audio asqueroso la verdad en la pregunta del minuto 34:57  que se le hizo a jorge se perdió todo el audio de su respuesta","14","pesimo el audio asqueroso la verdad en la pregunta del minuto 34:57 que se le hizo a jorge se perdió todo el audio de su respuesta","0","0","-1","0"
"1","universal","jafetca1","07/04/2024","Jajaja jajaja 1:39:59  la cara de la Momia cuando le dijeron que también anda con los del PRIAN (fotos) y luego la rematan con que no tiene el carisma de AMLO jajaja jajaja esa estuvo buena...","2","jajaja jajaja 1:39:59 la cara de la momia cuando le dijeron que también anda con los del prian representado por xochitl(fotos)y luego la rematan con que no tiene el carisma de amlo jajaja jajaja esa estuvo buena...","-1","0","0","0"
"1","universal","jorgem.nicola4050","07/04/2024","No fue un buen debate, lo que destacó es la sonrisa idéntica a la de AMLO de su candidata, …","5","no fue un buen debate,lo que destacó es la sonrisa idéntica a la de amlo de su candidata,…","-1","0","0","0"
"1","universal","mauriciorodriquezvalencia6452","07/04/2024","Con lo de los medicamentos de piojos si se la avento buena Xochitl por que queramos o no aceptarlo si estuvo muy mal","19","con lo de los medicamentos de piojos si se la avento buena xochitl por que queramos o no aceptarlo si estuvo muy mal","-1","0","0","1"
