evento,fecha,Topic,Count,Name,silhouette_promedio
Debate 1,2024-04-07,1,389,debate_voto_candidatos_votar,0.637
Debate 1,2024-04-07,2,158,preguntas_xochitl_mentiras_vergüenza,0.528
Debate 1,2024-04-07,3,123,educación_niños_escuelas_escuela,0.706
Debate 1,2024-04-07,4,121,tiempo_minuto_quitan_reloj,0.992
Debate 1,2024-04-07,5,120,presidenta_presidente_maynez_claudia,0.552
Debate 2,2024-04-28,6,198,méxico_mexicanos_mexico_presidente,0.695
Debate 2,2024-04-28,7,149,presidenta_presidente_claudia_sheinbaum,0.589
Debate 2,2024-04-28,8,77,gasolina_subio_unidos_precio,0.855
Debate 2,2024-04-28,9,46,jajaja_jajajaja_PAN_xochitl,0.833
Debate 2,2024-04-28,10,41,doctora_vamos_plan_c,0.583
Debate 3,2024-05-19,11,196,1_méxico_mexicanos_mexico_hacer,0.687
Debate 3,2024-05-19,12,183,2_voto_votar_candidata_xochitl,0.589
Debate 3,2024-05-19,13,124,4_presidenta_presidente_claudia_xochitl,0.631
Debate 3,2024-05-19,14,97,6_sheinbaum_claudia_maynez_viva,0.575
Debate 3,2024-05-19,15,78,7_debate_no_preguntas_propuestas,0.707
Día Elección,2024-06-02,16,1306,0_méxico_elecciones_claudia_presidenta,0.619
Día Elección,2024-06-02,17,162,2_siguiente_presidenta_claudia_méxico,0.687
Día Elección,2024-06-02,18,117,3_voté_xochitl_representado_pri,0.959
Día Elección,2024-06-02,19,95,4_urnas_vota_inundemos_votar,0.616
Día Elección,2024-06-02,20,58,6_mexico_voté_xochitl_presidenta,0.981
