evento,fecha,Topic,Count,Name,silhouette_promedio
Debate 1,2024-04-07,1,389,1_debate_voto_candidatos_votar,0.6371639
Debate 1,2024-04-07,2,158,3_preguntas_xochitl_mentiras_vergüenza,0.5286801
Debate 1,2024-04-07,3,123,4_educación_niños_escuelas_escuela,0.7067397
Debate 1,2024-04-07,4,121,5_tiempo_minuto_quitan_reloj,0.99251765
Debate 1,2024-04-07,5,120,6_presidenta_presidente_maynez_claudia,0.5524824
Debate 2,2024-04-28,6,198,3_méxico_mexicanos_mexico_presidente,0.69517916
Debate 2,2024-04-28,7,149,4_presidenta_presidente_claudia_sheinbaum,0.5891646
Debate 2,2024-04-28,8,77,6_gasolina_subio_unidos_precio,0.8553374
Debate 2,2024-04-28,9,46,7_jajaja_jajajaja_pan_xochitl,0.8335154
Debate 2,2024-04-28,10,41,8_doctora_c_plan_vamos,0.5833506
Debate 3,2024-05-19,11,196,1_méxico_mexicanos_mexico_hacer,0.6872192
Debate 3,2024-05-19,12,183,2_voto_votar_candidata_xochitl,0.5898176
Debate 3,2024-05-19,13,124,4_presidenta_presidente_claudia_xochitl,0.6318511
Debate 3,2024-05-19,14,97,6_sheinbaum_claudia_maynez_viva,0.5751362
Debate 3,2024-05-19,15,78,7_debate_no_preguntas_propuestas,0.7077239
Día de la elección,2024-06-02,16,1306,0_méxico_elecciones_claudia_presidenta,0.61975235
Día de la elección,2024-06-02,17,162,2_siguiente_presidenta_claudia_méxico,0.6872561
Día de la elección,2024-06-02,18,117,3_voté_xochitl_representado_pri,0.9591769
Día de la elección,2024-06-02,19,95,4_urnas_vota_inundemos_votar,0.6166999
Día de la elección,2024-06-02,20,58,6_mexico_voté_xochitl_presidenta,0.9814377
