num_debate,canal,username,fecha,comentario,num_likes,comentario_editado,Claudia,Maynez,Ninguno,Xóchitl,topic
3,heraldoDeMexico,marinamerino5905,19/05/2024,"Ay xochitl,  que si Claudia bailaba ballet y ella trabajaba, eso que !!!  la señora pelea como la vecina envidiosa....por favor, que pobreza y falta de argumentos",85,"ay xochitl,que si claudia bailaba ballet y ella trabajaba,eso que!!!la señora pelea como la vecina envidiosa....por favor,que pobreza y falta de argumentos",0,0,0,-1,10
3,heraldoDeMexico,bimexlandia4752,19/05/2024,xochitl no sabe de política cuando es su turno habla y dice lo que yo diría nada espera hasta que claudia hable para entender mejor el tema   Y así otra vez tirarle veneno  esa señora es de risa,30,xochitl no sabe de política cuando es su turno habla y dice lo que yo diría nada espera hasta que claudia hable para entender mejor el tema y así otra vez tirarle veneno esa señora es de risa,1,0,0,-1,-1
3,heraldoDeMexico,bimexlandia4752,19/05/2024,xochitl no escucha bien con el chicharo  o está lejos la pantalla donde se dictan se lo escriben habla nerviosa no sabe ni qué dice,22,xochitl no escucha bien con el chicharo o está lejos la pantalla donde se dictan se lo escriben habla nerviosa no sabe ni qué dice,0,0,0,-1,-1
3,heraldoDeMexico,CarlosGarcia-sx9sm,19/05/2024,"Pobre del Partido al que pertenece la señora. xochitl, sólo los está dejando ver en ridículo con su falta de conocimiento y  diplomacia al hablar. No soy partidista, soy mas de irme por quien hace las cosas bien. De verdad tendrían que ser muy huecos de su cabeza para votar por esta señora, no se sabe ni la historia del partido al que pertenece, que les hace pensar que conoce las necesidades del pueblo Mexicano.",13,"pobre del partido al que pertenece la señora.xochitl,sólo los está dejando ver en ridículo con su falta de conocimiento y diplomacia al hablar.no soy partidista,soy más de irme por quien hace las cosas bien.de verdad tendrían que hacer muy huecos de su cabeza para votar por esta señora,no se sabe ni la historia del partido al que pertenece,que les hace pensar que conoce las necesidades del pueblo mexicano.",0,0,0,-1,1
3,heraldoDeMexico,imar6911,19/05/2024,"Miro a mi alrededor mirando objetivamente que ha mejorado realmente, se que no puede cambiar en un abrir y cerrar de ojos. Pero recordemos que se nos prometió. Me preguntó cómo vemos nuestras calles las banquetas y toda la infraestructura urbana de la ciudad de México. Ahora estoy en los 30 y no me alcanza mi salario ni imaginar cómo voy a comprar una casa.  Otra cosa se vienen las lluvias para que sirve tanta propaganda ojalá recojan tanta basura. Porque eso hará que se inunde nuestra ciudad.",13,"miro a mi alrededor mirando objetivamente que ha mejorado realmente,se que no puede cambiar en un abrir y cerrar de ojos.pero recordemos que se nos prometió.me preguntó cómo vemos nuestras calles las banquetas y toda la infraestructura urbana de la ciudad de méxico.ahora estoy en los 30 y no me alcanza mi salario ni imaginar cómo voy a comprar una casa.otra cosa se vienen las lluvias para que sirve tanta propaganda ojalá recojan tanta basura.porque eso hará que se inunde nuestra ciudad.",-1,-1,-1,0,-1
3,heraldoDeMexico,marthadamianamores3540,19/05/2024,Estpy segura que la botarga lleva  chicharo,39,estpy segura que la botarga lleva chicharo,0,0,0,-1,0
3,heraldoDeMexico,whojahbless1560,19/05/2024,Xochitl apuntando dedos sin pruebas y todas las pruebas en contra de Ella por favor Dos de junio llega ya ya no aguanto escuchagg a egsa señoga. Y para celebrar el triunfo de Claudia...,46,xochitl apuntando dedos sin pruebas y todas las pruebas en contra de ella por favor dos de junio llega ya ya no aguanto escuchagg a egsa señoga.y para celebrar el triunfo de claudia...,1,0,0,-1,-1
3,heraldoDeMexico,lety2522,19/05/2024,Chochil cuando daras propuestas?????  Tu prian da pena por 70 años robaron y squearon al país,48,xochitl cuando daras propuestas?????tu prian representado por xochitl da pena por 70 años robaron y squearon al país,0,0,0,-1,-1
3,heraldoDeMexico,victorhugocastillofuentes4620,19/05/2024,Está señora Xochitl está mal en todas sus encuestas y la verdad tener un presidente así de ignorante no porque en todo lo que dice está mal,36,está señora xochitl está mal en todas sus encuestas y la verdad tener un presidente así de ignorante no porque en todo lo que dice está mal,0,0,0,-1,4
3,heraldoDeMexico,mariaisabelsanchezrosado2409,19/05/2024,Ni loca votaré x la botarga,52,ni loca votaré por la botarga,0,0,0,-1,2
3,heraldoDeMexico,guadalupecastro1140,19/05/2024,Ya por favor que xochitl se dedique con todo respeto a su persona a su salud es joven para lucir tan descuidada ️,26,ya por favor que xochitl se dedique con todo respeto a su persona a su salud es joven para lucir tan descuidada️,0,0,0,-1,0
3,heraldoDeMexico,lety2522,19/05/2024,"El prian firmo un contrato de Bucareli, afortunadamente terminó este año y no se volvera a firmar gracias a AMLO que si tuvo los pantalones puestos para rechazar su actualización contra EU y Canadá",14,"el prian representado por xochitl firmo un contrato de bucareli,afortunadamente terminó este año y no se volvera a firmar gracias a amlo que si tuvo los pantalones puestos para rechazar su actualización contra Estados Unidos y canadá",1,0,0,-1,-1
3,heraldoDeMexico,almacatolica5304,19/05/2024,“Fuimos los únicos que hicimos los programas sociales.” JAJAJA sí como no!  era mejor el seguro popular.,19,“fuimos los únicos que hicimos los programas sociales.”jajaja sí como no!era mejor el seguro popular.,-1,0,-1,0,-1
3,heraldoDeMexico,gerardosancheztoriz9800,19/05/2024,Cochil Gálvez no dio propuestas solo hizo lo mismo de los anteriores debates atacar a Claudia,32,xochitl galvez no dio propuestas solo hizo lo mismo de los anteriores debates atacar a claudia,0,0,0,-1,-1
3,heraldoDeMexico,malenaorozcogonzalez3368,19/05/2024,"Pues yo no se de que habla xochitl. Yo tengo cuatro hijos .las más grande nació con discapacidad, Hora tiene 27 años y el apoyo económico lo acaba de recibir  en abril de este año  ya que el otro gobierno nunca , nunca volteo a verla apesar de que iban a mi casa a verla muchas personas que según hacen el socio económico para dar la ayuda la segunda de mis hijas tubo que trabajar y pagar su universidad par poder seguir estudiando.  Ya por último mi hija más pequeña ahora tiene 12 años pero que paso? Tube que trabajar más  de lo normal par poder pagar las vacunas por que nunca había .y esto fue en el gobierno del prian  Ahora morena mi madre tiene una pensión mi hija xon discapacidad  tiene su pensión  A mi hijo de prepa le ayudan xon una beca para xomprar sus libros  VAMOS MORENA",23,"pues yo no se de que habla xochitl.yo tengo cuatro hijos.las más grande nació con discapacidad,hora tiene 27 años y el apoyo económico lo acaba de recibir en abril de este año ya que el otro gobierno nunca,nunca volteo a verla apesar de que iban a mi casa a verla muchas personas que según hacen el socio económico para dar la ayuda la segunda de mis hijas tuvo que trabajar y pagar su universidad par poder seguir estudiando.ya por último mi hija más pequeña ahora tiene 12 años pero que paso?tuve que trabajar más de lo normal par poder pagar las vacunas por que nunca había.y esto fue en el gobierno del prian representado por xochitl ahora morena mi madre tiene una pensión mi hija son discapacidad tiene su pensión a mi hijo de prepa le ayudan son una beca para xomprar sus libros vamos morena",1,0,0,-1,35
3,heraldoDeMexico,luisagarcia416,19/05/2024,FUERA PRIANGANOS,26,fuera prianganos,0,0,0,-1,0
3,heraldoDeMexico,lomejordetokiohotel7054,19/05/2024,Y donde estan esas escuelas interculturales yo no las veo,10,y donde estan esas escuelas interculturales yo no las veo,0,0,-1,0,19
3,heraldoDeMexico,Jess-nt5bq,19/05/2024,"xochitl,  eres literalmente un show, hablas muchas cosas sin sentido, eres todo lo que ya no queremos como represente, ya fueron muchos años que estuvieron en el poder y solo se han dedicado a llevarnos entre las patas, por qué los únicos que ganan son sus bolsillos, ya deja de ser el títerete",11,"xochitl,eres literalmente un show,hablas muchas cosas sin sentido,eres todo lo que ya no queremos como represente,ya fueron muchos años que estuvieron en el poder y solo se han dedicado a llevarnos entre las patas,por qué los únicos que ganan son sus bolsillos,ya deja de hacer el títerete",0,0,0,-1,-1
